"ID","family","joint","model","component","state","weight","location","log_scale","mean_rate","direction","rho"
"elk-115","gamma",FALSE,"M21",1,1,0.500779145014018,1.79969362890921,1.06086898340098,6.04779431121114,0,0
"elk-115","gamma",FALSE,"M21",2,1,0.499220854985982,-3.82551126435042,-0.438378824963332,0.0218072833938619,0,0
"elk-115","gamma",FALSE,"M21",3,2,1,-0.318973910383255,0.300815240634241,0.726894513458224,0,0
"elk-115","gamma",FALSE,"H2",1,1,1,-4.7371688796933,0.29830406210133,0.00876342139839802,0,0
"elk-115","gamma",FALSE,"H2",2,2,1,0.266797234792058,-0.341914558257588,1.30577565361426,0,0
"elk-115","gamma",FALSE,"H3",1,1,1,-4.63959218736846,0.175407314251259,0.00966163696182246,0,0
"elk-115","gamma",FALSE,"H3",2,2,1,-0.479702532356088,0.527001581576337,0.618967487223651,0,0
"elk-115","gamma",FALSE,"H3",3,3,1,0.808038686713565,-0.550004709579472,2.24350345562009,0,0
"elk-163","gamma",FALSE,"M21",1,1,0.706844962962544,-1.10757446215587,-0.307874175392722,0.330359289027641,0,0
"elk-163","gamma",FALSE,"M21",2,1,0.293155037037456,1.88327375836178,0.551756378088833,6.57499461046124,0,0
"elk-163","gamma",FALSE,"M21",3,2,1,-2.32025774859366,0.451210392227259,0.0982482589899683,0,0
"elk-163","gamma",FALSE,"H2",1,1,1,-1.94998558463214,0.109476025938285,0.142276122534375,0,0
"elk-163","gamma",FALSE,"H2",2,2,1,1.05770521416615,-0.851850536162893,2.879754980076,0,0
"elk-163","gamma",FALSE,"H3",1,1,1,-2.38245347954964,0.502137314805203,0.0923237848904075,0,0
"elk-163","gamma",FALSE,"H3",2,2,1,-0.71099653928661,-0.391970797514522,0.491154498745692,0,0
"elk-163","gamma",FALSE,"H3",3,3,1,2.0511347647774,1.04650847503847,7.77672085009741,0,0
"elk-287","gamma",FALSE,"M21",1,1,0.405894942335616,1.6678602715244,0.249002412025166,5.30081335252477,0,0
"elk-287","gamma",FALSE,"M21",2,1,0.594105057664384,-2.13317904372665,0.653907140916871,0.11846010476686,0,0
"elk-287","gamma",FALSE,"M21",3,2,1,-0.993003902320732,0.471097199672853,0.370462185708159,0,0
"elk-287","gamma",FALSE,"H2",1,1,1,-1.25646426530945,0.166274199197227,0.284658727011926,0,0
"elk-287","gamma",FALSE,"H2",2,2,1,1.45868493942791,-0.452963456328763,4.30030065244231,0,0
"elk-287","gamma",FALSE,"H3",1,1,1,-2.18316696066814,0.703007313900375,0.112684098844008,0,0
"elk-287","gamma",FALSE,"H3",2,2,1,-0.989764595171512,0.472447238588574,0.371664172265616,0,0
"elk-287","gamma",FALSE,"H3",3,3,1,1.59852742580006,0.00359838899742167,4.94574408426337,0,0
"elk-363","gamma",FALSE,"M21",1,1,0.680870693945609,-1.1637227845727,0.368610229603226,0.312321308993552,0,0
"elk-363","gamma",FALSE,"M21",2,1,0.319129306054391,1.0188263591277,-0.184035645338365,2.76994193844034,0,0
"elk-363","gamma",FALSE,"M21",3,2,1,-4.58453329747167,0.753299304424313,0.0102085130149918,0,0
"elk-363","gamma",FALSE,"H2",1,1,1,-1.09788532782736,0.373324791668429,0.333575741713606,0,0
"elk-363","gamma",FALSE,"H2",2,2,1,0.690649282976765,-0.816356956525237,1.99501043913401,0,0
"elk-363","gamma",FALSE,"H3",1,1,1,-4.58473855738314,0.752708474505833,0.0102064178315501,0,0
"elk-363","gamma",FALSE,"H3",2,2,1,-1.13815435068875,0.334356974154314,0.320409840628096,0,0
"elk-363","gamma",FALSE,"H3",3,3,1,1.06235033615524,-0.134086656253063,2.89316290988317,0,0
"elk-115","gamma",TRUE,"M21",1,1,0.491506990833244,1.79645655184878,1.01285537676181,6.02824878723138,1.07839714284827,0.379298575008632
"elk-115","gamma",TRUE,"M21",2,1,0.508493009166756,-3.67495289758348,-0.51314189679506,0.0253505995691034,-1.91830568798829,0.137409664894911
"elk-115","gamma",TRUE,"M21",3,2,1,-0.311770948464416,0.304825014401216,0.7321492089244,-3.0503961802628,0.354148365490551
"elk-115","gamma",TRUE,"H2",1,1,1,-4.7369770782413,0.301303226811535,0.0087651023965505,-2.51714683245341,0.243001794847861
"elk-115","gamma",TRUE,"H2",2,2,1,0.266775774533313,-0.34206499835115,1.30574763163155,-3.12133802717798,0.276055538490727
"elk-115","gamma",TRUE,"H3",1,1,1,-4.64442623567419,0.216917549721532,0.00961504484703372,-2.56801491489348,0.234632977958901
"elk-115","gamma",TRUE,"H3",2,2,1,-0.336141185959447,0.128783091797965,0.714522218189345,-3.05702695760978,0.32731339058644
"elk-115","gamma",TRUE,"H3",3,3,1,1.84092408478206,1.1292248488482,6.30235948545152,0.931398328215484,0.436074923613606
"elk-163","gamma",TRUE,"M21",1,1,0.320102218917337,-1.42131675972231,-0.187998885104407,0.241395947071993,0.374427971665057,0.432097044401987
"elk-163","gamma",TRUE,"M21",2,1,0.679897781082663,1.26920992285426,-0.716154179902152,3.55804032521508,-3.0957607865028,0.437303202065044
"elk-163","gamma",TRUE,"M21",3,2,1,-2.08426824694771,0.25115122455494,0.124398115569404,-3.04133506254351,0.381237177528563
"elk-163","gamma",TRUE,"H2",1,1,1,1.04247128676657,-0.863854748381874,2.83621746741961,-3.01324512401201,0.193072470305067
"elk-163","gamma",TRUE,"H2",2,2,1,-1.94466511767267,0.109859529593199,0.143035115250853,-3.12071233654222,0.343826209242854
"elk-163","gamma",TRUE,"H3",1,1,1,-0.862348695041603,-0.35576498143661,0.422169369878953,-2.99216272541794,0.187755160388143
"elk-163","gamma",TRUE,"H3",2,2,1,1.99860879855872,0.906965658044647,7.37878358066402,3.06251100766018,0.33142560506622
"elk-163","gamma",TRUE,"H3",3,3,1,-2.37614712193483,0.517398217684315,0.0929078514247985,-3.1105928620898,0.349545551754149
"elk-287","gamma",TRUE,"M21",1,1,0.415794922014178,1.63314192207231,0.131603733838914,5.11993591346805,0.0683823238391407,0.583632907893685
"elk-287","gamma",TRUE,"M21",2,1,0.584205077985822,-2.15729567440015,0.666095971960758,0.115637419803635,1.90876751938857,0.148517120020458
"elk-287","gamma",TRUE,"M21",3,2,1,-0.988064253125824,0.494784120907404,0.372296666060104,2.82142765432951,0.330050946676139
"elk-287","gamma",TRUE,"H2",1,1,1,-1.23598278682247,0.113403685855844,0.290549074204156,2.60235597027561,0.234744882542306
"elk-287","gamma",TRUE,"H2",2,2,1,1.72478904752246,0.210007112758906,5.61133717934915,0.00292935300770402,0.639850267761825
"elk-287","gamma",TRUE,"H3",1,1,1,-2.17319036820605,0.67497133101555,0.113813928730088,1.92343654203327,0.159129731916043
"elk-287","gamma",TRUE,"H3",2,2,1,-0.984204003360062,0.501481962213115,0.373736601645456,2.81036512896763,0.329889109981414
"elk-287","gamma",TRUE,"H3",3,3,1,1.61710142828535,0.0834190651951652,5.03846477872582,0.0503289260572399,0.573801111507977
"elk-363","gamma",TRUE,"M21",1,1,0.365909980389576,0.886377162743192,-0.449693403645934,2.42632353406047,-0.483685742430275,0.306187795127478
"elk-363","gamma",TRUE,"M21",2,1,0.634090019610424,-1.11071429156249,0.432601550144193,0.329323643942476,2.95675116195623,0.401892135457177
"elk-363","gamma",TRUE,"M21",3,2,1,-4.58483091916784,0.752410075519282,0.0102054751921164,1.57386453331328,0.338322155026712
"elk-363","gamma",TRUE,"H2",1,1,1,-1.02084197420968,-0.0890459533438872,0.360291456314031,2.91617605859658,0.338899751617219
"elk-363","gamma",TRUE,"H2",2,2,1,1.05603160468232,-0.366310674829065,2.87493942563303,-0.516065408625708,0.406998722910848
"elk-363","gamma",TRUE,"H3",1,1,1,0.927303275390325,-0.388663516134255,2.52768351195195,-0.543642124387124,0.328832002999383
"elk-363","gamma",TRUE,"H3",2,2,1,-4.58540879272933,0.750761313211488,0.0101995794214895,1.57196069247893,0.339185437640636
"elk-363","gamma",TRUE,"H3",3,3,1,-1.1067932411083,0.376959986078941,0.330617473493927,2.92938613193703,0.385413656333434
"elk-115","weibull",FALSE,"M21",1,1,0.492567850168029,-3.97137257628301,-0.277731747329667,0.0222593407152781,0,0
"elk-115","weibull",FALSE,"M21",2,1,0.507432149831971,1.9003988964425,0.537821537508712,5.96496317046334,0,0
"elk-115","weibull",FALSE,"M21",3,2,1,-0.261957724228766,0.164675098195161,0.727262068464838,0,0
"elk-115","weibull",FALSE,"H2",1,1,1,-4.71403624492231,0.188088408840703,0.00842385359860324,0,0
"elk-115","weibull",FALSE,"H2",2,2,1,0.0851666607615252,-0.258254384940645,1.26638260631323,0,0
"elk-115","weibull",FALSE,"H3",1,1,1,-4.61408087033448,0.0861118449491395,0.00959291883477428,0,0
"elk-115","weibull",FALSE,"H3",2,2,1,-0.389499753576424,0.355953794212938,0.615572816382437,0,0
"elk-115","weibull",FALSE,"H3",3,3,1,0.538600292140859,-0.367906729419371,2.1927578574088,0,0
"elk-163","weibull",FALSE,"M21",1,1,0.286157202545209,1.9802159782594,0.326215112162256,6.61346827257043,0,0
"elk-163","weibull",FALSE,"M21",2,1,0.713842797454791,-1.18367949529715,-0.218755209126538,0.345786687214566,0,0
"elk-163","weibull",FALSE,"M21",3,2,1,-2.24414258303661,0.257916645607606,0.0980045882810243,0,0
"elk-163","weibull",FALSE,"H2",1,1,1,-1.95910023754864,0.0671814970745418,0.137354481253065,0,0
"elk-163","weibull",FALSE,"H2",2,2,1,0.482190479889666,-0.598613138881988,2.76059033155943,0,0
"elk-163","weibull",FALSE,"H3",1,1,1,-2.29860830317263,0.286134975858262,0.0922990399357851,0,0
"elk-163","weibull",FALSE,"H3",2,2,1,-0.705113992602826,-0.338842397948417,0.615030889309572,0,0
"elk-163","weibull",FALSE,"H3",3,3,1,2.23739624324288,0.640738452585425,8.31392100303984,0,0
"elk-287","weibull",FALSE,"M21",1,1,0.411821212042016,1.70058028156482,0.136557833475582,5.21747780092612,0,0
"elk-287","weibull",FALSE,"M21",2,1,0.588178787957984,-2.04706427840028,0.446274873183889,0.116026862910297,0,0
"elk-287","weibull",FALSE,"M21",3,2,1,-0.904718965082782,0.313030228107017,0.37023015367064,0,0
"elk-287","weibull",FALSE,"H2",1,1,1,1.37592017376328,-0.227526481754794,4.49939955098223,0,0
"elk-287","weibull",FALSE,"H2",2,2,1,-1.2350093987398,0.0774497464027365,0.282324419454449,0,0
"elk-287","weibull",FALSE,"H3",1,1,1,-2.07748889527589,0.474670208781617,0.112243118911174,0,0
"elk-287","weibull",FALSE,"H3",2,2,1,-0.901837027764474,0.314465275174636,0.371208114242058,0,0
"elk-287","weibull",FALSE,"H3",3,3,1,1.63403244105026,0.0580818776410001,5.00889293374245,0,0
"elk-363","weibull",FALSE,"M21",1,1,0.701899079188984,-1.10054432320086,0.195461120165612,0.311909001080892,0,0
"elk-363","weibull",FALSE,"M21",2,1,0.298100920811016,1.06728675555102,-0.0296134074863748,2.94551467021339,0,0
"elk-363","weibull",FALSE,"M21",3,2,1,-4.47393149876947,0.478705478167247,0.01021507332435,0,0
"elk-363","weibull",FALSE,"H2",1,1,1,1.29034350914709,0.100997601042825,3.5000113518704,0,0
"elk-363","weibull",FALSE,"H2",2,2,1,-1.1110429304185,-0.0286400542722736,0.33337452170169,0,0
"elk-363","weibull",FALSE,"H3",1,1,1,-4.47376191577794,0.478966057350509,0.010216570491039,0,0
"elk-363","weibull",FALSE,"H3",2,2,1,-1.07195018901626,0.175187022923566,0.322623267449458,0,0
"elk-363","weibull",FALSE,"H3",3,3,1,1.14031816471753,0.012643216768174,3.11135242123135,0,0
"elk-115","weibull",TRUE,"M21",1,1,0.504664894556679,-3.8403621594779,-0.327925199783399,0.0264831810889193,-1.86629624535238,0.131296241140656
"elk-115","weibull",TRUE,"M21",2,1,0.495335105443321,1.89068079630682,0.511339044227698,5.9183059573049,1.06718015488646,0.387568342932868
"elk-115","weibull",TRUE,"M21",3,2,1,-0.250365910792572,0.169342946201448,0.734816428445293,-3.05007465153929,0.357859641558007
"elk-115","weibull",TRUE,"H2",1,1,1,-4.71448387692973,0.195259442902491,0.00840495941643866,-2.49904657767331,0.234947173385662
"elk-115","weibull",TRUE,"H2",2,2,1,0.0850694280480779,-0.258329228803709,1.26633275481363,-3.1201924317569,0.276530222984334
"elk-115","weibull",TRUE,"H3",1,1,1,0.526338629468288,-0.370244357325678,2.17099549614126,2.67227590219304,0.120614620943532
"elk-115","weibull",TRUE,"H3",2,2,1,-4.62692257765737,0.101147052327245,0.00942350339965381,-2.53807657843078,0.258246955059316
"elk-115","weibull",TRUE,"H3",3,3,1,-0.389030565969152,0.361846774460477,0.615336417642255,-3.0364846452444,0.396555984795138
"elk-163","weibull",TRUE,"M21",1,1,0.80064959745475,0.325222298707712,-0.656483247103248,2.59338114707043,-0.423014592317515,0.0503007204197589
"elk-163","weibull",TRUE,"M21",2,1,0.19935040254525,1.15157298746983,-0.235236079475985,3.61544854553698,-3.12657928034731,0.903831354389438
"elk-163","weibull",TRUE,"M21",3,2,1,-1.94359670886628,0.0684566624851641,0.139437469049406,-3.0995251059971,0.356013874678059
"elk-163","weibull",TRUE,"H2",1,1,1,-1.95576278478779,0.0681175123375976,0.137767891794798,-3.12103270139115,0.350385421043846
"elk-163","weibull",TRUE,"H2",2,2,1,0.47160581001508,-0.601960340859932,2.74572932700628,-3.02061118017861,0.194540873393015
"elk-163","weibull",TRUE,"H3",1,1,1,-0.734042454184192,-0.335123675698437,0.595464174974775,-3.03669163831739,0.208785474626121
"elk-163","weibull",TRUE,"H3",2,2,1,2.22011744073656,0.616720905360694,8.17853342008386,3.06386573677779,0.321093915553967
"elk-163","weibull",TRUE,"H3",3,3,1,-2.29869689765987,0.295660791827972,0.0921295611230386,-3.07390940331597,0.336692398628311
"elk-287","weibull",TRUE,"M21",1,1,0.418745729173784,1.6591688442254,0.0896795610574278,5.08004613082224,0.0647891794657254,0.585246425352071
"elk-287","weibull",TRUE,"M21",2,1,0.581254270826216,-2.06430071042476,0.466937157910009,0.113813905551472,1.9290030886364,0.151523879904829
"elk-287","weibull",TRUE,"M21",3,2,1,-0.898486622161954,0.322058675997987,0.371980880059577,2.82071814569515,0.329845560944393
"elk-287","weibull",TRUE,"H2",1,1,1,1.79761608174743,0.196745783889577,5.65646282328049,0.00208632958037135,0.643600841252746
"elk-287","weibull",TRUE,"H2",2,2,1,-1.21600419697623,0.0396082525055027,0.291728312696324,2.60283169535054,0.233395394499503
"elk-287","weibull",TRUE,"H3",1,1,1,-2.07706523355673,0.476324138446124,0.112274013023987,1.91635424496188,0.161518827918834
"elk-287","weibull",TRUE,"H3",2,2,1,-0.895381550649512,0.324512591014629,0.372987142154668,2.81296373290804,0.328696655533828
"elk-287","weibull",TRUE,"H3",3,3,1,1.64501902048399,0.0746713094455618,5.03439881122787,0.0502822911639135,0.572540045083542
"elk-363","weibull",TRUE,"M21",1,1,0.602805400150285,-1.06382723192402,0.239146191168229,0.320308416944664,2.95921150815052,0.424837570223368
"elk-363","weibull",TRUE,"M21",2,1,0.397194599849715,0.6444347044212,-0.297871450048506,2.28739411062352,-0.481246453223521,0.286349161204947
"elk-363","weibull",TRUE,"M21",3,2,1,-4.47468234563879,0.477553867051242,0.0102084485999979,1.57409892860964,0.338208535721421
"elk-363","weibull",TRUE,"H2",1,1,1,-0.991904032019882,-0.11094263466082,0.391423884729187,2.91501080036002,0.314607745814399
"elk-363","weibull",TRUE,"H2",2,2,1,1.12834256987861,-0.126147435062866,3.28990116066368,-0.520376503052298,0.470864347880742
"elk-363","weibull",TRUE,"H3",1,1,1,-4.47514699243316,0.476857718202855,0.0102043389547931,1.57279696611254,0.338795668945359
"elk-363","weibull",TRUE,"H3",2,2,1,0.751708332542233,-0.245549860346662,2.44249310455431,-0.569390183847169,0.311018535738831
"elk-363","weibull",TRUE,"H3",3,3,1,-1.06690648772849,0.208422169871006,0.321564402439025,2.92175481403842,0.395281739246928
"elk-115","lognormal",FALSE,"M21",1,1,0.837847012954813,-0.546949056412615,0.333835919874633,1.53402862199804,0,0
"elk-115","lognormal",FALSE,"M21",2,1,0.162152987045187,-0.341572335099686,-1.13495294262834,0.748329879217376,0,0
"elk-115","lognormal",FALSE,"M21",3,2,1,-4.9272125492672,0.0441920867624166,0.0125127307682542,0,0
"elk-115","lognormal",FALSE,"H2",1,1,1,-0.503640722559905,0.242248359408434,1.36075293650217,0,0
"elk-115","lognormal",FALSE,"H2",2,2,1,-4.89949896404696,0.0484520073383595,0.0129246148753372,0,0
"elk-115","lognormal",FALSE,"H3",1,1,1,-4.63472532961909,0.161264292462583,0.0193624791107168,0,0
"elk-115","lognormal",FALSE,"H3",2,2,1,1.6826574273583,-0.590772246122823,6.27177673301653,0,0
"elk-115","lognormal",FALSE,"H3",3,3,1,-0.667011829771335,0.0254392890213342,0.868563773253974,0,0
"elk-163","lognormal",FALSE,"M21",1,1,0.84573449438155,-1.48667088963784,0.601233171294017,1.19421241087723,0,0
"elk-163","lognormal",FALSE,"M21",2,1,0.15426550561845,2.01032468297198,-0.601046905039261,8.67640087609198,0,0
"elk-163","lognormal",FALSE,"M21",3,2,1,-2.58888972341016,-0.107932110012623,0.112368978972863,0,0
"elk-163","lognormal",FALSE,"H2",1,1,1,-2.60074684999982,-0.101320795354992,0.111641612997181,0,0
"elk-163","lognormal",FALSE,"H2",2,2,1,-0.914623554843558,0.750816875110046,3.78060841402575,0,0
"elk-163","lognormal",FALSE,"H3",1,1,1,-2.64598559929959,-0.137332698498722,0.103718742863525,0,0
"elk-163","lognormal",FALSE,"H3",2,2,1,-1.43772109767443,0.590478827523232,1.21048975522009,0,0
"elk-163","lognormal",FALSE,"H3",3,3,1,2.06766240116397,-0.643264826971276,9.07729521929054,0,0
"elk-287","lognormal",FALSE,"M21",1,1,0.694718658137622,-2.17487472632349,0.134370279920541,0.218555150200808,0,0
"elk-287","lognormal",FALSE,"M21",2,1,0.305281341862378,1.62550005077854,-0.347473200982013,6.52114940710476,0,0
"elk-287","lognormal",FALSE,"M21",3,2,1,-1.2534186299808,-0.194408959743181,0.400721026517158,0,0
"elk-287","lognormal",FALSE,"H2",1,1,1,1.87872118112956,-0.639531380520407,7.5222867898431,0,0
"elk-287","lognormal",FALSE,"H2",2,2,1,-1.5930529205691,0.187753680027482,0.420972395072652,0,0
"elk-287","lognormal",FALSE,"H3",1,1,1,-2.2101423028391,0.100663845827624,0.202173394305422,0,0
"elk-287","lognormal",FALSE,"H3",2,2,1,-1.2482057430468,-0.197599980202333,0.401947791231675,0,0
"elk-287","lognormal",FALSE,"H3",3,3,1,1.56519069819029,-0.276421720699214,6.37794858321429,0,0
"elk-363","lognormal",FALSE,"M21",1,1,0.78942567071674,-0.773495450492996,0.4380608172004,1.53309456125985,0,0
"elk-363","lognormal",FALSE,"M21",2,1,0.21057432928326,-1.62423139526918,-0.770227768518638,0.21934933946541,0,0
"elk-363","lognormal",FALSE,"M21",3,2,1,-4.80635140932688,-0.358235408108286,0.010439956691745,0,0
"elk-363","lognormal",FALSE,"H2",1,1,1,-4.80640975363532,-0.358182099160896,0.0104396194559819,0,0
"elk-363","lognormal",FALSE,"H2",2,2,1,-0.952351612536602,0.36095276453199,1.0798522756766,0,0
"elk-363","lognormal",FALSE,"H3",1,1,1,-4.9011819394548,-0.280647380029127,0.00989281089771798,0,0
"elk-363","lognormal",FALSE,"H3",2,2,1,-1.14404201089154,0.193676248644596,0.665308668125931,0,0
"elk-363","lognormal",FALSE,"H3",3,3,1,1.72561746597239,-0.607652436837381,6.51382766544068,0,0
"elk-115","lognormal",TRUE,"M21",1,1,0.341316752655245,-0.329151159707616,-0.319749576939571,0.936718125635531,3.13814023897361,0.764970826601699
"elk-115","lognormal",TRUE,"M21",2,1,0.658683247344755,-0.615927364489081,0.402752914209297,1.65365290109379,0.13405946675428,0.0327847247358763
"elk-115","lognormal",TRUE,"M21",3,2,1,-4.93369738869764,0.0414137991002058,0.0123942808166461,-2.59860365760012,0.249260303681876
"elk-115","lognormal",TRUE,"H2",1,1,1,-4.89000999917308,0.0644147882969123,0.0132831113583488,-2.56636585996585,0.226379034283691
"elk-115","lognormal",TRUE,"H2",2,2,1,-0.504213520283848,0.243818810286101,1.36345073339689,-3.12025521788321,0.277737279077865
"elk-115","lognormal",TRUE,"H3",1,1,1,1.70634693011258,-0.552563738200842,6.5008391059532,0.928764599826509,0.440138245311453
"elk-115","lognormal",TRUE,"H3",2,2,1,-4.25792261482199,0.387189349079403,0.0418651877683102,-1.92303177828434,0.0424154865368898
"elk-115","lognormal",TRUE,"H3",3,3,1,-0.637604162913455,-0.0539443617485617,0.828001411830098,-3.05219540734615,0.36600063567979
"elk-163","lognormal",TRUE,"M21",1,1,0.50865645137911,-3.27446423922134,-0.423536033489321,0.0468815938787636,-2.31746057051112,0.446012957143125
"elk-163","lognormal",TRUE,"M21",2,1,0.49134354862089,-1.78799596260809,-0.711803865960491,0.188704271902523,2.73062341738543,0.5455314657318
"elk-163","lognormal",TRUE,"M21",3,2,1,-0.904464907275889,0.757922605119676,3.94389604068351,-3.0725389096744,0.226124322478384
"elk-163","lognormal",TRUE,"H2",1,1,1,-0.902110391094918,0.754138430582274,3.88591420025812,-3.03018875048048,0.22539018293011
