"ID","family","model","improvement","previous_BIC","BIC","convergence"
"elk-115","weibull","M21",2.26077645493206e-09,2866.45328051856,2866.45328051404,0
"elk-115","weibull","H2",4.54747350886464e-13,2881.01263647896,2881.01263647896,0
"elk-115","weibull","H3",4.54747350886464e-13,2860.97132450803,2860.97132450802,0
"elk-163","weibull","M21",0.658718620778927,2266.10970954279,2264.79227230123,0
"elk-163","weibull","H2",1.54614099301398e-11,2254.31444734761,2254.31444734758,0
"elk-163","weibull","H3",1.19954802660436,2278.53035878452,2276.13126273131,0
"elk-287","weibull","M21",0.000251589249955941,2293.19964259285,2293.19913941435,0
"elk-287","weibull","H2",1.36424205265939e-12,2319.80637263412,2319.80637263411,0
"elk-287","weibull","H3",2.16121861740248e-07,2304.23497786859,2304.23497743635,0
"elk-363","weibull","M21",3.15401068358324,3116.23669014464,3109.92866877747,0
"elk-363","weibull","H2",7.95807864051312e-12,3129.50830402115,3129.50830402114,0
"elk-363","weibull","H3",4.00340604755911e-06,3122.21198780305,3122.21197979623,0
"elk-115","gamma","M21",4.54747350886464e-13,2865.45462160212,2865.45462160211,0
"elk-115","gamma","H2",4.54747350886464e-12,2891.82454834783,2891.82454834782,0
"elk-115","gamma","H3",0.203516476264213,2862.63571203199,2862.22867907946,0
"elk-163","gamma","M21",1.14298403387829,2266.5589949349,2264.27302686714,0
"elk-163","gamma","H2",-5.0022208597511e-12,2256.22598039275,2256.22598039276,0
"elk-163","gamma","H3",-1.81898940354586e-12,2275.61525167077,2275.61525167077,0
"elk-287","gamma","M21",8.25737865913152,2313.06776407502,2296.55300675676,0
"elk-287","gamma","H2",9.09494701772928e-13,2319.77205928582,2319.77205928582,0
"elk-287","gamma","H3",1.85832504939754e-09,2307.78613088952,2307.7861308858,0
"elk-363","gamma","M21",4.16317185168941,3115.93376240408,3107.6074187007,0
"elk-363","gamma","H2",1.38697942020372e-11,3129.35254628913,3129.35254628911,0
"elk-363","gamma","H3",0.000329357760165294,3120.3882573393,3120.38759862378,0
