"ID","family","joint","model","interval","state","certainty"
"elk-115","gamma",FALSE,"M21",1,1,0.999999969409249
"elk-115","gamma",FALSE,"M21",2,2,0.88547385117946
"elk-115","gamma",FALSE,"M21",3,2,0.99926877668409
"elk-115","gamma",FALSE,"M21",4,2,0.998590851082548
"elk-115","gamma",FALSE,"M21",5,2,0.752068593930638
"elk-115","gamma",FALSE,"M21",6,1,0.999996671780401
"elk-115","gamma",FALSE,"M21",7,2,0.992119776119033
"elk-115","gamma",FALSE,"M21",8,2,0.999927337791177
"elk-115","gamma",FALSE,"M21",9,2,0.99995066269069
"elk-115","gamma",FALSE,"M21",10,2,0.999761269495546
"elk-115","gamma",FALSE,"M21",11,2,0.999586212230259
"elk-115","gamma",FALSE,"M21",12,2,0.99399903383567
"elk-115","gamma",FALSE,"M21",13,2,0.999588647348293
"elk-115","gamma",FALSE,"M21",14,2,0.999858593692044
"elk-115","gamma",FALSE,"M21",15,2,0.999562861387296
"elk-115","gamma",FALSE,"M21",16,2,0.999750097929885
"elk-115","gamma",FALSE,"M21",17,2,0.999819970866602
"elk-115","gamma",FALSE,"M21",18,2,0.999452373677849
"elk-115","gamma",FALSE,"M21",19,2,0.999645874749477
"elk-115","gamma",FALSE,"M21",20,2,0.999884315531808
"elk-115","gamma",FALSE,"M21",21,2,0.999949643800752
"elk-115","gamma",FALSE,"M21",22,2,0.999782625148851
"elk-115","gamma",FALSE,"M21",23,2,0.999916403289031
"elk-115","gamma",FALSE,"M21",24,2,0.999925463518522
"elk-115","gamma",FALSE,"M21",25,2,0.999916447097618
"elk-115","gamma",FALSE,"M21",26,2,0.999654614044197
"elk-115","gamma",FALSE,"M21",27,2,0.999832271597367
"elk-115","gamma",FALSE,"M21",28,2,0.999863696906293
"elk-115","gamma",FALSE,"M21",29,2,0.999915234906199
"elk-115","gamma",FALSE,"M21",30,2,0.999620494332114
"elk-115","gamma",FALSE,"M21",31,2,0.999906406187553
"elk-115","gamma",FALSE,"M21",32,2,0.999683207358023
"elk-115","gamma",FALSE,"M21",33,2,0.999604892431833
"elk-115","gamma",FALSE,"M21",34,2,0.998344897396542
"elk-115","gamma",FALSE,"M21",35,2,0.998825647268158
"elk-115","gamma",FALSE,"M21",36,2,0.999694775004656
"elk-115","gamma",FALSE,"M21",37,2,0.999948045163429
"elk-115","gamma",FALSE,"M21",38,2,0.999329165698415
"elk-115","gamma",FALSE,"M21",39,2,0.92156446798456
"elk-115","gamma",FALSE,"M21",40,2,0.998794980571073
"elk-115","gamma",FALSE,"M21",41,2,0.998969363287385
"elk-115","gamma",FALSE,"M21",42,2,0.949520334381797
"elk-115","gamma",FALSE,"M21",43,2,0.998924782267752
"elk-115","gamma",FALSE,"M21",44,2,0.999924179723406
"elk-115","gamma",FALSE,"M21",45,2,0.999581651378806
"elk-115","gamma",FALSE,"M21",46,2,0.995707255271782
"elk-115","gamma",FALSE,"M21",47,2,0.987954497652971
"elk-115","gamma",FALSE,"M21",48,2,0.999788576534945
"elk-115","gamma",FALSE,"M21",49,2,0.999665502033526
"elk-115","gamma",FALSE,"M21",50,2,0.999938013075565
"elk-115","gamma",FALSE,"M21",51,2,0.99993425658919
"elk-115","gamma",FALSE,"M21",52,2,0.998649298903255
"elk-115","gamma",FALSE,"M21",53,2,0.992177359041303
"elk-115","gamma",FALSE,"M21",54,2,0.990272859502731
"elk-115","gamma",FALSE,"M21",55,2,0.999707232098202
"elk-115","gamma",FALSE,"M21",56,2,0.998102155708174
"elk-115","gamma",FALSE,"M21",57,2,0.99981455028624
"elk-115","gamma",FALSE,"M21",58,2,0.999899997079488
"elk-115","gamma",FALSE,"M21",59,2,0.99917296272001
"elk-115","gamma",FALSE,"M21",60,2,0.997237596016175
"elk-115","gamma",FALSE,"M21",61,2,0.999490775000672
"elk-115","gamma",FALSE,"M21",62,2,0.97323404896843
"elk-115","gamma",FALSE,"M21",63,2,0.934748598601708
"elk-115","gamma",FALSE,"M21",64,2,0.953713371228016
"elk-115","gamma",FALSE,"M21",65,2,0.999378617276366
"elk-115","gamma",FALSE,"M21",66,2,0.981332755016099
"elk-115","gamma",FALSE,"M21",67,2,0.997466169989728
"elk-115","gamma",FALSE,"M21",68,2,0.989509518726558
"elk-115","gamma",FALSE,"M21",69,2,0.841813121318672
"elk-115","gamma",FALSE,"M21",70,2,0.970776377552201
"elk-115","gamma",FALSE,"M21",71,1,0.999601105956582
"elk-115","gamma",FALSE,"M21",72,1,0.999906834061627
"elk-115","gamma",FALSE,"M21",73,2,0.993910963802095
"elk-115","gamma",FALSE,"M21",74,2,0.999689489081016
"elk-115","gamma",FALSE,"M21",75,2,0.999902379747611
"elk-115","gamma",FALSE,"M21",76,2,0.997354817383309
"elk-115","gamma",FALSE,"M21",77,1,0.749677742236964
"elk-115","gamma",FALSE,"M21",78,1,0.973684875237417
"elk-115","gamma",FALSE,"M21",79,1,0.997860832049735
"elk-115","gamma",FALSE,"M21",80,1,0.997865714387913
"elk-115","gamma",FALSE,"M21",81,1,0.99713524691722
"elk-115","gamma",FALSE,"M21",82,1,0.958899617574933
"elk-115","gamma",FALSE,"M21",83,1,0.999977097895073
"elk-115","gamma",FALSE,"M21",84,2,0.884225125750142
"elk-115","gamma",FALSE,"M21",85,2,0.911435005708816
"elk-115","gamma",FALSE,"M21",86,2,0.997065843758881
"elk-115","gamma",FALSE,"M21",87,2,0.999375708147202
"elk-115","gamma",FALSE,"M21",88,2,0.998998644481922
"elk-115","gamma",FALSE,"M21",89,2,0.996504219333784
"elk-115","gamma",FALSE,"M21",90,2,0.999836991332325
"elk-115","gamma",FALSE,"M21",91,2,0.988474772680314
"elk-115","gamma",FALSE,"M21",92,2,0.942206719598885
"elk-115","gamma",FALSE,"M21",93,2,0.998401306727698
"elk-115","gamma",FALSE,"M21",94,2,0.98858095026963
"elk-115","gamma",FALSE,"M21",95,2,0.998708540096351
"elk-115","gamma",FALSE,"M21",96,2,0.958823750327324
"elk-115","gamma",FALSE,"M21",97,2,0.999046260693953
"elk-115","gamma",FALSE,"M21",98,2,0.992672099172735
"elk-115","gamma",FALSE,"M21",99,1,0.819930322980839
"elk-115","gamma",FALSE,"M21",100,1,0.969329611407056
"elk-115","gamma",FALSE,"M21",101,1,0.999999999817277
"elk-115","gamma",FALSE,"M21",102,1,0.834736423451316
"elk-115","gamma",FALSE,"M21",103,1,0.86302562511451
"elk-115","gamma",FALSE,"M21",104,1,0.934018858116672
"elk-115","gamma",FALSE,"M21",105,1,0.969897320326414
"elk-115","gamma",FALSE,"M21",106,1,0.976060695582004
"elk-115","gamma",FALSE,"M21",107,2,0.994490767257383
"elk-115","gamma",FALSE,"M21",108,2,0.999301413042499
"elk-115","gamma",FALSE,"M21",109,2,0.999803844691042
"elk-115","gamma",FALSE,"M21",110,2,0.992254027238359
"elk-115","gamma",FALSE,"M21",111,2,0.998430333375783
"elk-115","gamma",FALSE,"M21",112,2,0.982036879750957
"elk-115","gamma",FALSE,"M21",113,2,0.810944662157848
"elk-115","gamma",FALSE,"M21",114,1,0.930029957097815
"elk-115","gamma",FALSE,"M21",115,1,0.917729450936631
"elk-115","gamma",FALSE,"M21",116,1,0.994882995033559
"elk-115","gamma",FALSE,"M21",117,1,0.999992244356094
"elk-115","gamma",FALSE,"M21",118,2,0.981798828437281
