"interval","phase","probability_mobile","distance_water"
1,"mobile",0.999999999772301,0.57987
2,"mobile",0.999999871179665,0
3,"mobile",0.999999853662422,0.10308
4,"mobile",0.999999915743105,0.09014
5,"mobile",1,0.125
6,"mobile",1,0.20616
7,"mobile",1,0
8,"mobile",1,0.99247
9,"mobile",0.999999999985496,0.075
10,"mobile",1,0.50062
11,"mobile",0.999999970933601,0.68007
12,"mobile",0.999999940571396,0.625
13,"mobile",0.999999864977052,0.64275
14,"mobile",0.999999999999981,0.64275
15,"mobile",0.999999346652457,0.77217
16,"mobile",0.999978905958929,0.7754
17,"mobile",0.999970080478862,0.79726
18,"mobile",0.999979056373429,1.02011
19,"mobile",0.999981450057032,0.70799
20,"mobile",0.999985766161411,0.37832
21,"mobile",0.999986923280905,0.40389
22,"mobile",0.999990432707094,0.61033
23,"mobile",0.999994317878387,0.66568
24,"mobile",0.99999775848011,0.53677
25,"mobile",0.999999050742238,0.65622
26,"mobile",0.999999935601241,0.59002
27,"mobile",1,0.07906
28,"mobile",0.999999940368286,0.09014
29,"mobile",1,0.12748
30,"mobile",1,0.72887
31,"mobile",1,0.41003
32,"mobile",0.999999729831978,0.475
33,"mobile",0.999999529873485,0.53033
34,"mobile",0.999999999999999,0.0559
35,"mobile",0.999999950031183,0.075
36,"mobile",0.999999999185285,0.5
37,"mobile",0.999999989433335,0.35795
38,"mobile",0.999999951406446,0.09014
39,"mobile",0.999999999982886,0.15811
40,"mobile",0.999999507922531,0.60415
41,"mobile",0.999999248344414,0.025
42,"mobile",0.999999760157369,0
43,"mobile",0.999999880247586,0.075
44,"mobile",0.99999985258559,0.075
45,"mobile",0.999999894133353,0.03536
46,"mobile",0.999999835122728,0.05
47,"mobile",0.999999881035435,0.17678
48,"mobile",0.999999922863682,0.16008
49,"mobile",0.9999999641921,0.125
50,"mobile",1,0.10607
51,"mobile",0.99999984450527,0.54829
52,"mobile",1,0.48088
53,"mobile",1,0.15
54,"mobile",1,0.77661
55,"mobile",0.999999933875261,0.19039
56,"mobile",0.999999908556515,0.30208
57,"mobile",0.999999866649285,0.39528
58,"mobile",0.999999733457019,0.38161
59,"mobile",0.999999675112715,0.30516
60,"mobile",0.999999443350955,0.47762
61,"mobile",0.999999676225261,0.45962
62,"mobile",0.999999799749073,0.45962
63,"mobile",0.999999722410342,0.33634
64,"mobile",0.9999997756113,0.16008
65,"mobile",0.999999707991596,0.125
66,"mobile",0.999999479535559,0.21506
67,"mobile",0.999999813408038,0.21506
68,"mobile",0.99999982120317,0.25739
69,"mobile",0.999999746383283,0.28504
70,"mobile",0.999999428346884,0.65431
71,"mobile",1,0.51296
72,"mobile",0.999999934604033,0.51539
73,"mobile",1,0.29262
74,"mobile",1,0.63738
75,"mobile",0.999999999964598,0.32596
76,"mobile",0.999999774579045,0.34821
77,"mobile",1,0.49624
78,"mobile",0.999999958000795,0.35795
79,"mobile",1,0.48088
80,"mobile",0.999999929956317,0.67546
81,"mobile",0.999999819645808,0.82538
82,"mobile",0.999999777978599,0.68007
83,"mobile",0.999999434134252,0.70045
84,"mobile",0.999999080279574,0.68007
85,"mobile",0.999998654714279,0.66002
86,"mobile",0.999999068074682,0.70045
87,"mobile",0.999999440928914,0.83217
88,"mobile",1,0.82538
89,"mobile",1,1.28695
90,"mobile",0.872786115297698,1.85506
91,"mobile",0.707012834617139,1.89011
92,"localized",0.446356915845123,1.94486
93,"localized",0.408055042317155,1.90919
94,"localized",0.342851344932488,1.76777
95,"localized",0.288140116111917,1.75018
96,"localized",0.192731893044524,1.82089
97,"localized",0.0252429888630716,1.64012
98,"localized",0.000357880894791133,1.6906
99,"localized",3.91797726164917e-05,1.7967
100,"localized",3.31105324564869e-05,2.07319
101,"localized",3.19477121410365e-05,2.13029
102,"localized",3.29921819063332e-05,1.90804
103,"localized",3.16634318186527e-05,1.9276
104,"localized",2.29016541753161e-05,2.03854
105,"localized",1.09848577565929e-05,2.19801
106,"localized",4.95501937874651e-06,1.77992
107,"localized",2.05248341913173e-06,1.77992
