"ID","family","model","n","central_90_fraction","mean_pit","rate_log_score","joint_log_score"
"elk-115","gamma","H2",97,0.814432989690722,0.506821082293416,-551.51947009339,-721.359061291147
"elk-115","gamma","H3",97,0.814432989690722,0.500637114961106,-561.592810638417,-732.474438161849
"elk-115","gamma","M21",97,0.793814432989691,0.507000338277325,-563.265756841027,-734.152740951356
"elk-115","lognormal","H2",97,0.793814432989691,0.497494002654973,-573.816099299645,-740.888881592785
"elk-115","lognormal","H3",97,0.793814432989691,0.521705510847407,-558.749413868237,-733.224912596776
"elk-115","lognormal","M21",97,0.814432989690722,0.520727440791439,-564.567888890854,-727.195532872673
"elk-115","truncated_normal","H2",97,0.793814432989691,0.509482574995376,-565.335762388918,-736.538019171195
"elk-115","truncated_normal","H3",97,0.835051546391753,0.505549136299377,-558.769624497618,-726.705798564393
"elk-115","truncated_normal","M21",97,0.804123711340206,0.507578946111925,-560.970972656602,-728.622729409334
"elk-115","weibull","H2",97,0.793814432989691,0.512640355715558,-551.570059298566,-721.353955056637
"elk-115","weibull","H3",97,0.77319587628866,0.505954796951558,-565.077877768121,-735.028796024704
"elk-115","weibull","M21",97,0.793814432989691,0.499358374420937,-568.046749085454,-738.008484420695
"elk-163","gamma","H2",79,0.911392405063291,0.430114865785553,-378.346625647544,-520.386124114511
"elk-163","gamma","H3",79,0.89873417721519,0.424262253926125,-381.70823578946,-524.596887802368
"elk-163","gamma","M21",79,0.886075949367089,0.43475064602182,-384.376516375787,-525.860313724309
"elk-163","lognormal","H2",79,0.911392405063291,0.435093454254815,-373.740111819078,-514.191324486575
"elk-163","lognormal","H3",79,0.89873417721519,0.432260169861455,-373.223829923449,-514.619327835349
"elk-163","lognormal","M21",79,0.89873417721519,0.400360169990603,-380.729548103892,-522.953742677783
"elk-163","truncated_normal","H2",79,0.911392405063291,0.405158112725216,-377.115859408767,-517.052197905608
"elk-163","truncated_normal","H3",79,0.860759493670886,0.406537789083376,-382.430350829058,-525.418639056973
"elk-163","truncated_normal","M21",79,0.886075949367089,0.412276999247566,-382.142572196981,-526.190929646282
"elk-163","weibull","H2",79,0.949367088607595,0.411753052079868,-379.396524298663,-521.070210110421
"elk-163","weibull","H3",79,0.911392405063291,0.414329346381124,-384.853116182402,-528.239646663958
"elk-163","weibull","M21",79,0.873417721518987,0.426076268325119,-384.161380383928,-526.618101837132
"elk-287","gamma","H2",82,0.98780487804878,0.544094028226173,-405.333704675475,-560.615781349817
"elk-287","gamma","H3",82,0.975609756097561,0.501504857020677,-402.547932223067,-560.358636975594
"elk-287","gamma","M21",82,0.975609756097561,0.51845344208167,-403.536413116855,-561.074716328854
"elk-287","lognormal","H2",82,0.98780487804878,0.557529228442723,-409.464681344718,-558.005052625568
"elk-287","lognormal","H3",82,0.926829268292683,0.489910474374342,-397.98287400849,-554.904399245738
"elk-287","lognormal","M21",82,0.951219512195122,0.571698570327337,-404.324183768734,-553.883934933448
"elk-287","truncated_normal","H2",82,0.98780487804878,0.545230339401728,-406.56811053618,-561.859281644364
"elk-287","truncated_normal","H3",82,0.98780487804878,0.508138840894113,-404.52312768134,-561.921594692506
"elk-287","truncated_normal","M21",82,0.98780487804878,0.521765643007626,-404.978981526508,-564.574069051356
"elk-287","weibull","H2",82,0.98780487804878,0.543839051080757,-405.310570431311,-560.898359237162
"elk-287","weibull","H3",82,0.975609756097561,0.513273495741809,-401.425867814795,-560.973846896338
"elk-287","weibull","M21",82,0.98780487804878,0.512866271762396,-403.54478720563,-562.244839441833
"elk-363","gamma","H2",109,0.706422018348624,0.374671121005747,-597.534655938524,-792.837764914023
"elk-363","gamma","H3",109,0.724770642201835,0.391485425903932,-599.877229819507,-802.092579282608
"elk-363","gamma","M21",109,0.706422018348624,0.386854262074805,-598.2788845286,-794.476211927163
"elk-363","lognormal","H2",109,0.678899082568807,0.387174355933582,-611.395425982804,-804.746044778885
"elk-363","lognormal","H3",109,0.706422018348624,0.412898346517851,-598.327288013666,-789.811216837909
"elk-363","lognormal","M21",109,0.706422018348624,0.400029035443925,-598.07854814014,-789.771936206536
"elk-363","truncated_normal","H2",109,0.73394495412844,0.384028718523425,-587.756965948989,-784.887619957391
"elk-363","truncated_normal","H3",109,0.715596330275229,0.403640994407649,-587.925926168722,-788.782452972853
"elk-363","truncated_normal","M21",109,0.73394495412844,0.390894379376862,-597.042593114727,-788.198071321672
"elk-363","weibull","H2",109,0.706422018348624,0.375786625681634,-594.940453711481,-791.652374904429
"elk-363","weibull","H3",109,0.724770642201835,0.396056874681004,-594.409881304564,-796.08038028908
"elk-363","weibull","M21",109,0.697247706422018,0.387725580877948,-591.597360415208,-785.286961262602
