"ID","family","model","joint","n","n_parameters","log_likelihood","BIC","convergence","parameters_at_bounds"
"elk-115","gamma","M21",TRUE,193,16,-1390.62578928982,2865.45462160211,0,1
"elk-115","gamma","M22",TRUE,193,21,-1380.67972175871,2871.87593748441,0,2
"elk-115","gamma","H2",TRUE,193,11,-1416.96747813493,2891.82454834782,0,1
"elk-115","gamma","H3",TRUE,193,20,-1378.48743765068,2862.22867907946,0,2
"elk-115","gamma","H4",TRUE,193,31,-1360.02649463967,2883.1963851354,0,3
"elk-163","gamma","M21",TRUE,158,16,-1091.63575316936,2264.27302686714,0,1
"elk-163","gamma","M22",TRUE,158,21,-1086.75186999172,2279.818235677,0,1
"elk-163","gamma","H2",TRUE,158,11,-1100.26871751473,2256.22598039276,0,1
"elk-163","gamma","H3",TRUE,158,20,-1087.18167550512,2275.61525167077,0,1
"elk-163","gamma","H4",TRUE,158,31,-1076.25490324045,2309.45025250475,0,2
"elk-287","gamma","M21",TRUE,163,16,-1107.57573269652,2296.55300675676,0,1
"elk-287","gamma","M22",TRUE,163,21,-1100.99350836675,2308.82653977338,0,1
"elk-287","gamma","H2",TRUE,163,11,-1131.90424979913,2319.77205928582,0,1
"elk-287","gamma","H3",TRUE,163,20,-1103.01710209058,2307.7861308858,0,2
"elk-287","gamma","H4",TRUE,163,31,-1088.36128530645,2334.4380570051,0,6
"elk-363","gamma","M21",TRUE,217,16,-1510.76453052203,3107.6074187007,0,1
"elk-363","gamma","M22",TRUE,217,21,-1507.11563244972,3127.2091093238,0,1
"elk-363","gamma","H2",TRUE,217,11,-1535.08683770008,3129.35254628911,0,1
"elk-363","gamma","H3",TRUE,217,20,-1506.39482577648,3120.38759862378,0,2
"elk-363","gamma","H4",TRUE,217,31,-1481.29348204659,3129.36378205294,0,4
"elk-115","weibull","M21",TRUE,193,16,-1391.12511874578,2866.45328051404,0,1
"elk-115","weibull","M22",TRUE,193,21,-1381.38657980384,2873.28965357468,0,2
"elk-115","weibull","H2",TRUE,193,11,-1411.5615222005,2881.01263647896,0,1
"elk-115","weibull","H3",TRUE,193,20,-1377.85876036496,2860.97132450802,0,1
"elk-115","weibull","H4",TRUE,193,31,-1360.3719887958,2883.88737344765,0,1
"elk-163","weibull","M21",TRUE,158,16,-1091.8953758864,2264.79227230123,0,1
"elk-163","weibull","M22",TRUE,158,21,-1085.7875228872,2277.88954146796,0,2
"elk-163","weibull","H2",TRUE,158,11,-1099.31295099214,2254.31444734758,0,1
"elk-163","weibull","H3",TRUE,158,20,-1087.43968103539,2276.13126273131,0,2
"elk-163","weibull","H4",TRUE,158,31,-1078.75851951781,2314.45748505946,0,2
"elk-287","weibull","M21",TRUE,163,16,-1105.89879902532,2293.19913941435,0,1
"elk-287","weibull","M22",TRUE,163,21,-1100.11388687679,2307.06729679346,0,1
"elk-287","weibull","H2",TRUE,163,11,-1131.92140647328,2319.80637263411,0,1
"elk-287","weibull","H3",TRUE,163,20,-1101.24152536585,2304.23497743635,0,1
"elk-287","weibull","H4",TRUE,163,31,-1087.56244457384,2332.84037553989,0,4
"elk-363","weibull","M21",TRUE,217,16,-1511.92515556041,3109.92866877747,0,1
"elk-363","weibull","M22",TRUE,217,21,-1508.5343096732,3130.04646377075,0,1
"elk-363","weibull","H2",TRUE,217,11,-1535.1647165661,3129.50830402114,0,1
"elk-363","weibull","H3",TRUE,217,20,-1507.30701636271,3122.21197979623,0,1
"elk-363","weibull","H4",TRUE,217,31,-1481.05469855816,3128.88621507607,0,4
"elk-115","lognormal","M21",TRUE,193,16,-1387.69833530801,2859.59971363849,0,1
"elk-115","lognormal","M22",TRUE,193,21,-1381.43674071993,2873.38997540686,0,1
"elk-115","lognormal","H2",TRUE,193,11,-1402.24722428618,2862.38404065031,0,1
"elk-115","lognormal","H3",TRUE,193,20,-1382.40025320585,2870.0543101898,0,2
"elk-115","lognormal","H4",TRUE,193,31,-1361.25683732455,2885.65707050515,0,3
