"ID","interval","rate","step_km","lower","upper","angle","distance_open_forest","raw_habitat_code","distance_water"
"elk-115",1,6.01,5.5184434399566,6.005,6.015,NA,6013.01,13,0.2
"elk-115",2,1.42,1.4165662709524,1.415,1.425,-0.13,1327.12,13,0.60052
"elk-115",3,0.24,0.23975247652527,0.235,0.245,-2.38,673.15,13,0.56181
"elk-115",4,0.43,0.432760037434142,0.425,0.435,-0.94,863.5,13,0.55
"elk-115",5,0.1,0.103754517973918,0.095,0.105,-1.14,1015.2,17,0.30208
"elk-115",6,12.43,12.4164658820455,12.425,12.435,0.97,1105.1,16,0.2136
"elk-115",7,0.52,0.524916183785564,0.515,0.525,2.69,509.9,16,0.57118
"elk-115",8,0.31,0.309045708593405,0.305,0.315,-3.09,745.82,19,0.49117
"elk-115",9,0.31,0.30934002327536,0.305,0.315,3.07,575.54,13,0.66049
"elk-115",10,0.68,0.684547295663346,0.675,0.685,-2.93,761.99,19,0.51539
"elk-115",11,0.75,0.811066581730501,0.745,0.755,-2.61,654.31,19,0.51539
"elk-115",12,1.88,1.72551854524951,1.875,1.885,-2.36,447.21,17,0.21213
"elk-115",13,0.75,0.754458912068775,0.745,0.755,-2.43,1648.1,17,0.24749
"elk-115",14,0.54,0.53926802241557,0.535,0.545,-0.69,1241.22,13,0.25
"elk-115",15,0.86,0.930398839208218,0.855,0.865,-0.24,691.47,13,0.52738
"elk-115",16,0.69,0.629155783570333,0.685,0.695,-2.96,50,17,0.34731
"elk-115",17,0.6,0.598461569359303,0.595,0.605,-2.23,469.71,16,0.55509
"elk-115",18,0.93,0.930696647678501,0.925,0.935,2.7,150,17,0.09014
"elk-115",19,0.79,0.793378220018674,0.785,0.795,-3.12,892.33,13,0.47762
"elk-115",20,0.5,0.502159586187499,0.495,0.505,-2.17,201.56,13,0.22361
"elk-115",21,0.32,0.323882694814033,0.315,0.325,-0.03,353.55,13,0.4717
"elk-115",22,0.66,0.659628114925372,0.655,0.665,-1.44,626.5,16,0.33541
"elk-115",23,0.24,0.241747802471915,0.235,0.245,0.1,1095.73,16,0.25739
"elk-115",24,0.41,0.41271206670026,0.405,0.415,-2.84,1333.46,17,0.15
"elk-115",25,0.43,0.467183315198649,0.425,0.435,-1.67,908.98,16,0.45069
"elk-115",26,0.79,0.720741978796851,0.785,0.795,1.69,1105.1,11,0.37583
"elk-115",27,0.21,0.208165799304305,0.205,0.215,-1.87,506.21,17,0.09014
"elk-115",28,0.54,0.535474555884778,0.535,0.545,0.95,691.47,1,0
"elk-115",29,0.24,0.236087377892169,0.235,0.245,-2.46,925.34,17,0.25739
"elk-115",30,0.82,0.820324478483972,0.815,0.825,-1.04,951.31,17,0.17678
"elk-115",31,0.45,0.485585213942929,0.445,0.455,-0.15,540.83,13,0.38079
"elk-115",32,0.76,0.693796980391238,0.755,0.765,1.92,559.02,16,0.61745
"elk-115",33,0.8,0.861857441808099,0.795,0.805,2.32,1145.1,16,0.20156
"elk-115",34,1.31,1.30652831963184,1.305,1.315,2.72,503.12,17,0.20156
"elk-115",35,1.17,1.17329717037075,1.165,1.175,-3.08,1364.28,16,0.16008
"elk-115",36,0.19,0.188090403795622,0.185,0.195,1.06,471.7,16,0.36056
"elk-115",37,0.29,0.289558284288328,0.285,0.295,2.95,279.51,16,0.39131
"elk-115",38,0.5,0.496632661028249,0.495,0.505,-2.98,550.57,16,0.43661
"elk-115",39,0.03,0.0347131099154196,0.025,0.035,-0.03,79.06,13,0.25
"elk-115",40,0.63,0.626081464347891,0.625,0.635,-3.02,50,16,0.225
"elk-115",41,0.68,0.912561367799448,0.675,0.685,2.72,665.68,16,0.40389
"elk-115",42,0.04,0.044407206622349,0.035,0.045,2.85,201.56,17,0.41231
"elk-115",43,0.71,0.355953999837058,0.705,0.715,-0.67,152.07,17,0.40311
"elk-115",44,0.25,0.245814971065637,0.245,0.255,1.54,0,20,0.14577
"elk-115",45,0.78,1.0356482269574,0.775,0.785,1.04,182,13,0.35089
"elk-115",46,1.52,1.01072857385156,1.515,1.525,-2.97,985.2,17,0.19526
"elk-115",47,0.08,0.0842570471830102,0.075,0.085,-0.82,347.31,16,0.375
"elk-115",48,0.51,0.514748725107698,0.505,0.515,-2.78,265.75,16,0.40389
"elk-115",49,0.78,0.784796948261141,0.775,0.785,2.24,649.04,17,0.025
"elk-115",50,0.37,0.374750917277063,0.365,0.375,-1.68,225,17,0.443
"elk-115",51,0.26,0.299708191412914,0.255,0.265,0.39,348.21,14,0.37832
"elk-115",52,1.12,1.11592293640735,1.115,1.125,-2.42,213.6,17,0.15811
"elk-115",53,0.1,0.0820548596976438,0.095,0.105,2.82,776.21,14,0.07071
"elk-115",54,0.09,0.109553639829994,0.085,0.095,-0.55,760.35,1,0
"elk-115",55,0.21,0.175137089161605,0.205,0.215,2.35,800.39,17,0.05
"elk-115",56,0.13,0.125738816600126,0.125,0.135,1.88,654.31,1,0
"elk-115",57,0.59,0.593384361101639,0.585,0.595,1.59,721.54,14,0.025
"elk-115",58,0.46,0.45530017570829,0.455,0.465,1.98,1202.34,16,0.05
"elk-115",59,0.16,0.1625,0.155,0.165,-3.14,835.54,17,0.24749
"elk-115",60,0.12,0.120739388767709,0.115,0.125,1.34,976.28,17,0.24749
"elk-115",61,0.21,0.211151604303638,0.205,0.215,-2.82,1020.42,17,0.10607
"elk-115",62,1.96,1.96148132797638,1.955,1.965,0.09,958.19,16,0.20156
"elk-115",63,2.58,2.58257511991423,2.575,2.585,-2.84,1437.23,17,0.075
"elk-115",64,0.07,0.074908277246243,0.065,0.075,1.27,254.95,16,0.025
"elk-115",65,0.41,0.409201967248448,0.405,0.415,0.19,190.39,14,0.075
"elk-115",66,2.4,2.39933657497234,2.395,2.405,1.72,134.63,17,0.225
"elk-115",67,1.05,1.04999297616698,1.045,1.055,2.86,1101.14,13,0.14142
"elk-115",68,1.12,1.11554336536058,1.115,1.125,-3.13,305.16,16,0.41608
"elk-115",69,0.02,0.0156923548264752,0.015,0.025,0.78,1151.09,13,0.1118
"elk-115",70,0.29,0.290146514712826,0.285,0.295,0.96,1176.06,13,0.10308
"elk-115",71,6.81,6.8143451629632,6.805,6.815,0.39,1267.38,16,0.22638
"elk-115",72,7.75,7.74647823207424,7.745,7.755,0.83,6592.8,13,0.1118
"elk-115",73,0.46,0.460434577328854,0.455,0.465,-1.68,650,13,0.4423
"elk-115",74,0.67,0.668006736492979,0.665,0.675,-1.38,548.29,16,0.70178
"elk-115",75,0.24,0.280855834904671,0.235,0.245,-2.19,884.59,17,0.45069
"elk-115",76,0.27,0.225998340701873,0.265,0.275,2.75,1090.01,13,0.23049
"elk-115",77,0.04,0.0416293165929973,0.035,0.045,-2.79,995.62,16,0.325
"elk-115",78,0.02,0.0206155281280883,0.015,0.025,-0.02,1027.74,16,0.30923
"elk-115",79,0.01,0.0097082439194738,0.005,0.015,-2.57,1046.72,16,0.28504
"elk-115",80,0.02,0.0244182308941496,0.015,0.025,-1.8,1046.72,16,0.28504
"elk-115",81,0.01,0.00509901951359278,0.005,0.015,2.6,1030.78,16,0.29262
"elk-115",82,1.89,1.88536634371148,1.885,1.895,0.93,1046.72,16,0.28504
"elk-115",83,9.38,14.0680790444183,9.375,9.385,2.59,50,18,0.6255
"elk-115",84,1.09,0.548003649622884,1.085,1.095,-2.15,427.2,16,0.48283
"elk-115",85,0.06,0.0631446751515914,0.055,0.065,-0.14,0,20,0.14577
"elk-115",86,0.87,0.875128561983895,0.865,0.875,-0.21,25,17,0.17678
"elk-115",87,0.91,0.913057500927516,0.905,0.915,-3.14,75,18,0.13463
"elk-115",88,1.07,1.0705765969794,1.065,1.075,0.31,0,20,0.16008
"elk-115",89,1.63,2.1769750228241,1.625,1.635,2.91,908.64,13,0.33634
"elk-115",90,0.42,0.42064385173208,0.415,0.425,1.13,190.39,14,0.075
"elk-115",91,1.56,1.55585667720391,1.555,1.565,2.47,176.78,16,0.2136
"elk-115",92,2.95,2.47440725225255,2.945,2.955,2.99,469.71,17,0.19526
"elk-115",93,0.65,0.540283490401104,0.645,0.655,-0.64,111.8,16,0.79451
"elk-115",94,0.08,0.075823808925693,0.075,0.085,-1.45,235.85,16,0.80039
"elk-115",95,0.66,0.65779043015234,0.655,0.665,-1.83,313.25,16,0.73527
"elk-115",96,2.84,2.8425288037239,2.835,2.845,0.65,134.63,13,0.8533
"elk-115",97,0.62,0.619932455998232,0.615,0.625,3.12,522.02,16,0.59266
"elk-115",98,0.54,0.536553818363079,0.535,0.545,-2.88,79.06,16,0.30923
"elk-115",99,3.21,3.20539498346148,3.205,3.215,2.84,485.41,13,0.58363
"elk-115",100,0.03,0.0449444101084885,0.025,0.035,1.16,301.04,18,0.725
"elk-115",101,15.98,10.6512633992405,15.975,15.985,-2.31,247.49,18,0.77782
"elk-115",102,0.11,0.0930228466560769,0.105,0.115,-1.38,1098.29,13,0.25125
"elk-115",103,2.25,2.25460417812085,2.245,2.255,1.92,1011.5,16,0.31623
"elk-115",104,0.05,0.0457083143421413,0.045,0.055,-0.46,200,17,0.125
"elk-115",105,0.04,0.0431740662898458,0.035,0.045,-1.68,175,17,0.1
"elk-115",106,0,0.00447213595499958,0,0.005,2.44,201.56,17,0.15
"elk-115",107,0.44,0.437437138341042,0.435,0.445,-2.02,201.56,17,0.15
"elk-115",108,0.17,0.168928979159882,0.165,0.175,-2.83,538.52,17,0.52559
"elk-115",109,0.22,0.261396250929504,0.215,0.225,-1.13,403.11,17,0.38243
"elk-115",110,0.09,0.0740624736286873,0.085,0.095,-1.58,167.71,16,0.16008
"elk-115",111,0.17,0.17111472759526,0.165,0.175,-2.78,190.39,16,0.21506
"elk-115",112,1.29,1.28886044628579,1.285,1.295,2.08,201.56,17,0.175
"elk-115",113,0.11,0.106230880632705,0.105,0.115,-1.1,35.36,19,0.67546
"elk-115",114,4.25,4.24542589147426,4.245,4.255,0.63,35.36,19,0.63097
"elk-115",115,1.96,1.96520921278117,1.955,1.965,-0.56,1744.28,1,0
"elk-115",116,3.88,3.87585474444025,3.875,3.885,1.53,2392.96,17,0.52738
"elk-115",117,9.5,9.50487975989176,9.495,9.505,2.44,250,16,0.53033
"elk-115",118,0.19,0.191387042403607,0.185,0.195,-2.21,340.04,17,0.325
"elk-115",119,0.5,0.496477592646436,0.495,0.505,2.94,437.32,13,0.35532
"elk-115",120,1.81,2.1081046582179,1.805,1.815,1.08,275,17,0.20156
"elk-115",121,2.98,2.48173487705677,2.975,2.985,2.97,1061.25,13,0.30104
"elk-115",122,1,1.00278212987667,0.995,1.005,-1.71,416.08,16,0.25
"elk-115",123,0.98,0.980010841776763,0.975,0.985,3.12,35.36,19,0.67546
"elk-115",124,1.92,1.92242977765119,1.915,1.925,2.93,430.12,16,0.23049
"elk-115",125,0.92,0.918828057908551,0.915,0.925,2.89,79.06,16,0.23717
"elk-115",126,0.03,0.0281602556806574,0.025,0.035,1.72,35.36,19,0.6265
"elk-115",127,7.05,9.39796770583938,7.045,7.055,0.65,25,19,0.63885
"elk-115",128,4.65,3.09883546675199,4.645,4.655,1,6543.13,13,0.125
"elk-115",129,7.29,9.71337124792417,7.285,7.295,2.57,7084.67,13,0.025
"elk-115",130,3.87,2.5786853239587,3.865,3.875,-0.98,1000,17,0.31325
"elk-115",131,3.67,3.67075853877642,3.665,3.675,-1.36,35.36,19,0.63097
"elk-115",132,3.79,3.78932332349722,3.785,3.795,3.13,1457.74,17,0.07906
"elk-115",133,7.9,9.21663204484154,7.895,7.905,1.23,25,19,0.625
"elk-115",134,0.21,0.209502386621251,0.205,0.215,1.51,925,17,0.74917
"elk-115",135,0.21,0.211559093399457,0.205,0.215,-3.12,1150,16,0.65765
"elk-115",136,0.67,0.555398280515883,0.665,0.675,-2.16,925,17,0.74917
