"file","validation","ID","family","joint","n","improvement","convergence","max_projected_gradient","bounds"
"elk-115_gamma_joint_H2.rds",FALSE,"elk-115","gamma",TRUE,193,0,0,4.09272615797408e-07,1
"elk-115_gamma_joint_H3.rds",FALSE,"elk-115","gamma",TRUE,193,0,0,0.000687134615872532,2
"elk-115_gamma_joint_H4.rds",FALSE,"elk-115","gamma",TRUE,193,0,0,0.000711781922294505,3
"elk-115_gamma_joint_M21.rds",FALSE,"elk-115","gamma",TRUE,193,0,0,0.000189356796907883,1
"elk-115_gamma_joint_M22.rds",FALSE,"elk-115","gamma",TRUE,193,0,0,1.55409907165455e-05,2
"elk-115_gamma_rate_H2.rds",FALSE,"elk-115","gamma",FALSE,193,0,0,3.70619090972098e-06,1
"elk-115_gamma_rate_H3.rds",FALSE,"elk-115","gamma",FALSE,193,0,0,2.06114236789084e-05,2
"elk-115_gamma_rate_H4.rds",FALSE,"elk-115","gamma",FALSE,193,0,0,7.04176272874348e-05,2
"elk-115_gamma_rate_M21.rds",FALSE,"elk-115","gamma",FALSE,193,0,0,9.34505806070749e-06,1
"elk-115_gamma_rate_M22.rds",FALSE,"elk-115","gamma",FALSE,193,0,0,3.01724867311192e-05,2
"elk-115_lognormal_joint_H2.rds",FALSE,"elk-115","lognormal",TRUE,193,0,0,2.82739165413376e-05,1
"elk-115_lognormal_joint_H3.rds",FALSE,"elk-115","lognormal",TRUE,193,0,0,0.000655938947602207,2
"elk-115_lognormal_joint_H4.rds",FALSE,"elk-115","lognormal",TRUE,193,0,0,0.000875422756511744,3
"elk-115_lognormal_joint_M21.rds",FALSE,"elk-115","lognormal",TRUE,193,0,0,0.000171405645231758,1
"elk-115_lognormal_joint_M22.rds",FALSE,"elk-115","lognormal",TRUE,193,0,0,0.000196428118214121,1
"elk-115_lognormal_rate_H2.rds",FALSE,"elk-115","lognormal",FALSE,193,0,0,1.19371179607577e-06,1
"elk-115_lognormal_rate_H3.rds",FALSE,"elk-115","lognormal",FALSE,193,0,0,4.91922946840056e-05,1
"elk-115_lognormal_rate_H4.rds",FALSE,"elk-115","lognormal",FALSE,193,0,0,9.06197783478095e-05,2
