"ID","family","model","pit_residual_lag1"
"elk-115","gamma","H2",0.292346963572287
"elk-115","gamma","H3",0.299127451918534
"elk-115","gamma","M21",0.373138253836485
"elk-115","lognormal","H2",0.379829710939315
"elk-115","lognormal","H3",0.323395683705423
"elk-115","lognormal","M21",0.49964149154079
"elk-115","truncated_normal","H2",0.359569218161307
"elk-115","truncated_normal","H3",0.375225712984418
"elk-115","truncated_normal","M21",0.372934638579693
"elk-115","weibull","H2",0.343794574376815
"elk-115","weibull","H3",0.338893593481579
"elk-115","weibull","M21",0.392549200391405
"elk-163","gamma","H2",-0.00141409261806873
"elk-163","gamma","H3",-0.108754106120236
"elk-163","gamma","M21",-0.0580448627805108
"elk-163","lognormal","H2",0.0834740597594746
"elk-163","lognormal","H3",0.0439222685787967
"elk-163","lognormal","M21",0.0877440691695058
"elk-163","truncated_normal","H2",-0.0399696087014439
"elk-163","truncated_normal","H3",-0.0908567891912403
"elk-163","truncated_normal","M21",-0.00414689867495653
"elk-163","weibull","H2",0.0467036393070539
"elk-163","weibull","H3",-0.0936497867904242
"elk-163","weibull","M21",-0.0332111149067192
"elk-287","gamma","H2",0.0514740550446138
"elk-287","gamma","H3",0.0571832655170137
"elk-287","gamma","M21",0.0325967846875429
"elk-287","lognormal","H2",0.104896804005933
"elk-287","lognormal","H3",-0.0621419255635757
"elk-287","lognormal","M21",0.114617911098401
"elk-287","truncated_normal","H2",0.0686203598456336
"elk-287","truncated_normal","H3",0.0127613107593068
"elk-287","truncated_normal","M21",0.0409373412616136
"elk-287","weibull","H2",0.0616210960471786
"elk-287","weibull","H3",0.00921560137041576
"elk-287","weibull","M21",0.036861496167754
"elk-363","gamma","H2",0.320859920865144
"elk-363","gamma","H3",0.319194275356438
"elk-363","gamma","M21",0.376945784134885
"elk-363","lognormal","H2",0.332362901272651
"elk-363","lognormal","H3",0.323671815875162
"elk-363","lognormal","M21",0.36392057416023
"elk-363","truncated_normal","H2",0.29520828965201
"elk-363","truncated_normal","H3",0.317119576490683
"elk-363","truncated_normal","M21",0.384471620820831
"elk-363","weibull","H2",0.31988403622079
"elk-363","weibull","H3",0.328171879131183
"elk-363","weibull","M21",0.395656623265446
