"ID","family","model","joint","n","n_parameters","log_likelihood","BIC","convergence","parameters_at_bounds"
"elk-115","gamma","M21",FALSE,193,10,-1057.30842300924,2167.24374790753,0,1
"elk-115","gamma","M22",FALSE,193,13,-1054.93602992503,2178.28703230582,0,2
"elk-115","gamma","H2",FALSE,193,7,-1077.04455805216,2190.92794742666,0,1
"elk-115","gamma","H3",FALSE,193,14,-1043.06548015108,2159.80862294683,0,2
"elk-115","gamma","H4",FALSE,193,23,-1035.66073209632,2192.36333853745,0,2
"elk-163","gamma","M21",FALSE,158,10,-816.647400516484,1683.92075136324,0,1
"elk-163","gamma","M22",FALSE,158,13,-814.615451120582,1695.04463767051,0,1
"elk-163","gamma","H2",FALSE,158,7,-823.270368828779,1681.97890288875,0,1
"elk-163","gamma","H3",FALSE,158,14,-810.057819748211,1690.9919699588,0,3
"elk-163","gamma","H4",FALSE,158,23,-803.378332063068,1723.19634988576,0,4
"elk-287","gamma","M21",FALSE,163,10,-832.115841609248,1715.10764657082,0,2
"elk-287","gamma","M22",FALSE,163,13,-829.698369550403,1725.53549145883,0,2
"elk-287","gamma","H2",FALSE,163,7,-853.444697868335,1742.5025700833,0,1
"elk-287","gamma","H3",FALSE,163,14,-827.408975332835,1726.04429935892,0,2
"elk-287","gamma","H4",FALSE,163,23,-821.403625220835,1759.82196615202,0,3
"elk-363","gamma","M21",FALSE,217,10,-1132.54266002338,2318.88429358215,0,1
"elk-363","gamma","M22",FALSE,217,13,-1131.99087906122,2333.92042371847,0,1
"elk-363","gamma","H2",FALSE,217,7,-1156.6322149984,2350.92371147158,0,1
"elk-363","gamma","H3",FALSE,217,14,-1129.50013693796,2334.31883682548,0,2
"elk-363","gamma","H4",FALSE,217,23,-1110.38709594856,2344.51183102854,0,1
"elk-115","weibull","M21",FALSE,193,10,-1058.00770099536,2168.64230387977,0,1
"elk-115","weibull","M22",FALSE,193,13,-1054.83742111344,2178.08981468264,0,1
"elk-115","weibull","H2",FALSE,193,7,-1071.63966238372,2180.11815608977,0,1
"elk-115","weibull","H3",FALSE,193,14,-1041.64592276208,2156.96950816884,0,1
"elk-115","weibull","H4",FALSE,193,23,-1034.99722654227,2191.03632742934,0,1
"elk-163","weibull","M21",FALSE,158,10,-816.87519359265,1684.37633751557,0,1
"elk-163","weibull","M22",FALSE,158,13,-814.285254749885,1694.38424492912,0,1
"elk-163","weibull","H2",FALSE,158,7,-822.413371282261,1680.26490779571,0,1
