"ID","family","scenario","model","BIC","log_likelihood","n_parameters","convergence","agreement","decoded_runs","bounds"
"elk-115","weibull","coarse_005","M21",2684.99113935149,-1300.39404816451,16,0,0.989637305699482,15,1
"elk-115","weibull","coarse_005","H2",2702.92496841309,-1322.51768816757,11,0,NA,NA,2
"elk-115","weibull","coarse_005","H3",2679.40777384109,-1287.0769850315,20,0,NA,NA,4
"elk-163","weibull","coarse_005","M21",1971.66707872744,-945.332779099503,16,0,0.993670886075949,10,1
"elk-163","weibull","coarse_005","H2",1961.4040612238,-952.857757930254,11,0,NA,NA,1
"elk-163","weibull","coarse_005","H3",1986.69483081163,-942.721465075546,20,0,NA,NA,1
"elk-287","weibull","coarse_005","M21",2183.51679869505,-1051.05762866567,16,0,0.969325153374233,2,1
"elk-287","weibull","coarse_005","H2",2210.79559899239,-1077.41601965242,11,0,NA,NA,1
"elk-287","weibull","coarse_005","H3",2194.64638966152,-1046.44723147844,20,0,NA,NA,1
"elk-363","weibull","coarse_005","M21",2916.82027522677,-1415.37095878506,16,0,0.6036866359447,8,1
"elk-363","weibull","coarse_005","H2",2928.58410957032,-1434.70261934069,11,0,NA,NA,1
"elk-363","weibull","coarse_005","H3",2925.71927183089,-1409.06066238004,20,0,NA,NA,1
"elk-115","gamma","coarse_005","M21",2683.07632129867,-1299.43663913809,16,0,0.989637305699482,15,1
"elk-115","gamma","coarse_005","H2",2712.92080928174,-1327.5156086019,11,0,NA,NA,3
"elk-115","gamma","coarse_005","H3",2677.5742889589,-1286.1602425904,20,0,NA,NA,4
"elk-163","gamma","coarse_005","M21",1971.25437777585,-945.126428623711,16,0,0.911392405063291,10,2
"elk-163","gamma","coarse_005","H2",1961.32866606265,-952.820060349676,11,0,NA,NA,1
"elk-163","gamma","coarse_005","H3",1986.73478104888,-942.741440194169,20,0,NA,NA,2
"elk-287","gamma","coarse_005","M21",2185.3493148331,-1051.97388673469,16,0,0.969325153374233,2,1
"elk-287","gamma","coarse_005","H2",2210.55624275415,-1077.29634153329,11,0,NA,NA,1
"elk-287","gamma","coarse_005","H3",2196.60743985985,-1047.4277565776,20,0,NA,NA,2
"elk-363","gamma","coarse_005","M21",2913.75469718152,-1413.83816976244,16,0,0.672811059907834,8,1
"elk-363","gamma","coarse_005","H2",2928.68958170317,-1434.75535540711,11,0,NA,NA,1
"elk-363","gamma","coarse_005","H3",2925.49979641852,-1408.95092467386,20,0,NA,NA,3
"elk-115","weibull","coarse_010","M21",2553.0474286589,-1234.42219281821,16,0,0.968911917098446,15,2
"elk-115","weibull","coarse_010","H2",2584.76628908418,-1263.43834850311,11,0,NA,NA,1
"elk-115","weibull","coarse_010","H3",2552.73724559313,-1223.74172090752,20,0,NA,NA,3
"elk-163","weibull","coarse_010","M21",1708.49866508048,-813.748572276024,16,0,0.955696202531646,8,1
"elk-163","weibull","coarse_010","H2",1697.37669854372,-820.844076590211,11,0,NA,NA,1
"elk-163","weibull","coarse_010","H3",1725.48590897102,-812.11700415524,20,0,NA,NA,3
"elk-287","weibull","coarse_010","M21",1912.43370638428,-915.516082510281,16,0,0.969325153374233,2,1
"elk-287","weibull","coarse_010","H2",1930.25376282507,-937.145101568758,11,0,NA,NA,1
"elk-287","weibull","coarse_010","H3",1922.878033601,-910.563053448175,20,0,NA,NA,1
"elk-363","weibull","coarse_010","M21",2756.78882875743,-1335.35523555039,16,0,0.571428571428571,10,1
"elk-363","weibull","coarse_010","H2",2773.19774948607,-1357.00943929856,11,0,NA,NA,1
"elk-363","weibull","coarse_010","H3",2764.28309150407,-1328.34257221663,20,0,NA,NA,3
"elk-115","gamma","coarse_010","M21",2552.15476385877,-1233.97586041815,16,0,0.968911917098446,15,2
"elk-115","gamma","coarse_010","H2",2594.65191987933,-1268.38116390069,11,1,NA,NA,1
"elk-115","gamma","coarse_010","H3",2551.65514923664,-1223.20067272927,20,0,NA,NA,4
"elk-163","gamma","coarse_010","M21",1710.79567015432,-814.897074812944,16,0,0.962025316455696,6,1
"elk-163","gamma","coarse_010","H2",1696.00998174065,-820.160718188678,11,0,NA,NA,1
"elk-163","gamma","coarse_010","H3",1723.20792934318,-810.97801434132,20,0,NA,NA,3
"elk-287","gamma","coarse_010","M21",1914.5760569012,-916.587257768741,16,0,0.969325153374233,2,1
"elk-287","gamma","coarse_010","H2",1927.11279623861,-935.574618275527,11,0,NA,NA,1
"elk-287","gamma","coarse_010","H3",1925.03811819841,-911.643095746882,20,0,NA,NA,2
"elk-363","gamma","coarse_010","M21",2755.47490833421,-1334.69827533878,16,0,0.585253456221198,10,1
"elk-363","gamma","coarse_010","H2",2772.99648824501,-1356.90880867803,11,0,NA,NA,1
"elk-363","gamma","coarse_010","H3",2763.40586110548,-1327.90395701733,20,0,NA,NA,3
"elk-115","weibull","shared_angle","M21",2860.89237939182,-1393.60735837357,14,0,0.989637305699482,15,1
"elk-115","weibull","shared_angle","H2",2881.01263647896,-1411.5615222005,11,0,NA,NA,1
"elk-115","weibull","shared_angle","H3",2860.97132450802,-1377.85876036496,20,0,NA,NA,1
"elk-163","weibull","shared_angle","M21",2259.05003544753,-1094.08685249258,14,0,0.867088607594937,6,1
"elk-163","weibull","shared_angle","H2",2254.31444734758,-1099.31295099214,11,0,NA,NA,1
"elk-163","weibull","shared_angle","H3",2276.13126273131,-1087.43968103539,20,0,NA,NA,2
"elk-287","weibull","shared_angle","M21",2302.32034364483,-1115.54699747579,14,0,1,2,1
"elk-287","weibull","shared_angle","H2",2319.80637263411,-1131.92140647328,11,0,NA,NA,1
"elk-287","weibull","shared_angle","H3",2304.23497743635,-1101.24152536585,20,0,NA,NA,1
"elk-363","weibull","shared_angle","M21",3119.80165280998,-1522.24154493021,14,0,1,2,2
"elk-363","weibull","shared_angle","H2",3129.50830402114,-1535.1647165661,11,0,NA,NA,1
"elk-363","weibull","shared_angle","H3",3122.21197979623,-1507.30701636271,20,0,NA,NA,1
"elk-115","gamma","shared_angle","M21",2859.98847161449,-1393.15540448491,14,0,1,15,1
"elk-115","gamma","shared_angle","H2",2891.82454834782,-1416.96747813493,11,0,NA,NA,1
"elk-115","gamma","shared_angle","H3",2862.22867907946,-1378.48743765068,20,0,NA,NA,2
