"ID","family","fraction","n_train","BIC","n_parameters","convergence","score","homogeneous_BIC"
"elk-115","weibull",1,193,2887.48695073121,13,0,-1409.53598913772,2881.01263647896
"elk-163","weibull",1,158,2260.53026815986,13,0,-1097.35826636525,2254.31444734758
"elk-287","weibull",1,163,2312.90196802618,13,0,-1123.38160783408,2319.80637263411
"elk-363","weibull",1,217,3137.82768527171,13,0,-1533.94450983784,3129.50830402114
"elk-115","gamma",1,193,2898.26979541386,13,0,-1414.92741147905,2891.82454834782
"elk-163","gamma",1,158,2262.587533153,13,0,-1098.38689886183,2256.22598039276
"elk-287","gamma",1,163,2312.7871880858,13,0,-1123.32421786389,2319.77205928582
"elk-363","gamma",1,217,3137.82285082518,13,0,-1533.94209261458,3129.35254628911
"elk-115","weibull",0.5,96,1439.04688474854,13,0,-143.001987496562,1454.77562218479
"elk-163","weibull",0.5,79,1238.6626635536,13,0,-90.394200385245,1236.28430352023
"elk-287","weibull",0.5,81,1217.94748581851,13,0,-107.930983060438,1209.29573351207
"elk-363","weibull",0.5,108,1579.71840829515,13,0,-174.402239938575,1571.64960408727
"elk-115","gamma",0.5,96,1452.63313317124,13,0,-144.031207745812,1460.03059783777
"elk-163","gamma",0.5,79,1238.1671481617,13,0,-91.7362341500258,1237.39485240138
"elk-287","gamma",0.5,81,1219.69030865506,13,0,-108.237931834975,1211.01270059284
"elk-363","gamma",0.5,108,1578.54498329331,13,0,-173.765342379068,1570.39441072254
"elk-115","weibull",0.6,115,1725.56133268434,13,0,-176.707119938987,1718.34410919929
"elk-163","weibull",0.6,94,1419.72756734859,13,0,-118.28217443685,1420.20202445467
"elk-287","weibull",0.6,97,1431.68667169041,13,0,-129.87568646334,1423.65249084278
"elk-363","weibull",0.6,130,1923.18642684237,13,0,-156.58619127464,1914.84632886991
"elk-115","gamma",0.6,115,1730.87711114597,13,0,-175.448329811783,1722.911757484
"elk-163","gamma",0.6,94,1421.09265945142,13,0,-119.399791210238,1421.79247878596
"elk-287","gamma",0.6,97,1434.02854233379,13,0,-129.376400504318,1425.99148247336
"elk-363","gamma",0.6,130,1920.30440834507,13,0,-157.536962091318,1911.86554135505
"elk-115","weibull",0.7,135,2077.27757026498,13,0,-138.547006906165,2069.05034772425
"elk-163","weibull",0.7,110,1656.34889280131,13,0,-100.84455168813,1654.57104145044
"elk-287","weibull",0.7,114,1676.01714107022,13,0,-108.332979395918,1673.37274385241
"elk-363","weibull",0.7,151,2233.14253010919,13,0,-172.019005295305,2225.9595736125
"elk-115","gamma",0.7,135,2079.60678783743,13,0,-138.598116358211,2071.39192153604
"elk-163","gamma",0.7,110,1660.27526449669,13,0,-99.7749379772294,1660.86138310266
"elk-287","gamma",0.7,114,1677.0012593447,13,0,-108.355397316833,1674.55600625067
"elk-363","gamma",0.7,151,2231.52531973035,13,0,-170.757672298691,2224.21271339226
"elk-115","weibull",0.8,154,2354.53366989268,13,0,-128.154268677456,2344.86499449257
"elk-163","weibull",0.8,126,1849.95947661932,13,0,-105.329367784533,1848.91546676362
"elk-287","weibull",0.8,130,1892.40611332065,13,0,-104.592500876124,1893.46955503744
"elk-363","weibull",0.8,173,2567.97846041655,13,0,-163.471846666767,2558.50434992181
"elk-115","gamma",0.8,154,2356.75436702304,13,0,-130.587698995882,2347.15600738063
"elk-163","gamma",0.8,126,1853.03270990761,13,0,-98.3389801203595,1852.57245934692
"elk-287","gamma",0.8,130,1893.06291759394,13,0,-104.350128056403,1894.31065403967
"elk-363","gamma",0.8,173,2564.37200057294,13,0,-164.212001896262,2555.0144313765
"elk-115","weibull",0.9,173,2612.01373283445,13,0,-132.60292505123,2602.34945261657
"elk-163","weibull",0.9,142,2042.54395507542,13,0,-125.538898105809,2042.21444010845
"elk-287","weibull",0.9,146,2101.30260603798,13,0,-105.240463552033,2105.4867863291
"elk-363","weibull",0.9,195,2883.48015163069,13,0,-132.665519886011,2874.52451709939
"elk-115","gamma",0.9,173,2615.16395670771,13,0,-130.951694429269,2608.08954522612
"elk-163","gamma",0.9,142,2043.67016312971,13,0,-126.283941006828,2043.8585287081
"elk-287","gamma",0.9,146,2101.57632515172,13,0,-105.027141581223,2105.86549458132
"elk-363","gamma",0.9,195,2881.14073199848,13,0,-134.336623050989,2872.04915053087
