"ID","step_index","x_from","y_from","x_to","y_to","step_km","log1p_step_km"
"elk-115",1,769.928,4992.847,766.875,4997.444,5.5184434399566,1.87463561123356
"elk-115",2,766.875,4997.444,765.949,4998.516,1.4165662709524,0.88234763628136
"elk-115",3,765.949,4998.516,765.938,4998.2765,0.23975247652527,0.214911743985651
"elk-115",4,765.938,4998.2765,766.275,4998.005,0.432760037434142,0.359602680137361
"elk-115",5,766.275,4998.005,766.368,4998.051,0.103754517973918,0.0987175662222578
"elk-115",6,766.368,4998.051,777.208,4991.996,12.4164658820455,2.5964827497711
"elk-115",7,777.208,4991.996,776.684,4992.027,0.524916183785564,0.42193944709685
"elk-115",8,776.684,4992.027,776.991,4991.9915,0.309045708593405,0.269298405029658
"elk-115",9,776.991,4991.9915,776.682,4992.006,0.30934002327536,0.269523211237248
"elk-115",10,776.682,4992.006,777.343,4991.828,0.684547295663346,0.521496860444701
"elk-115",11,777.343,4991.828,776.773,4992.405,0.811066581730501,0.593915943399668
"elk-115",12,776.773,4992.405,776.765,4990.6795,1.72551854524951,1.0026587018467
"elk-115",13,776.765,4990.6795,777.261,4991.248,0.754458912068775,0.562160497168324
"elk-115",14,777.261,4991.248,777.278,4991.787,0.53926802241557,0.431306993310117
"elk-115",15,777.278,4991.787,777.089,4992.698,0.930398839208218,0.657726634006611
"elk-115",16,777.089,4992.698,777.103,4992.069,0.629155783570333,0.48806195645963
"elk-115",17,777.103,4992.069,777.569,4992.4445,0.598461569359303,0.469041647539233
"elk-115",18,777.569,4992.4445,777.161,4991.608,0.930696647678501,0.657880895133737
"elk-115",19,777.161,4991.608,777.521,4992.315,0.793378220018674,0.584101114942535
"elk-115",20,777.521,4992.315,777.023,4992.2505,0.502159586187499,0.406903796824069
"elk-115",21,777.023,4992.2505,776.703,4992.2005,0.323882694814033,0.280568854506629
"elk-115",22,776.703,4992.2005,776.716,4991.541,0.659628114925372,0.50659355011723
"elk-115",23,776.716,4991.541,776.697,4991.3,0.241747802471915,0.216519905301252
"elk-115",24,776.697,4991.3,776.852,4991.6825,0.41271206670026,0.345511308486218
"elk-115",25,776.852,4991.6825,776.404,4991.815,0.467183315198649,0.383344450589706
"elk-115",26,776.404,4991.815,776.689,4992.477,0.720741978796851,0.542755580827881
"elk-115",27,776.689,4992.477,776.482,4992.499,0.208165799304305,0.189103341174278
"elk-115",28,776.482,4992.499,776.22,4992.966,0.535474555884778,0.428839490188199
"elk-115",29,776.22,4992.966,776.179,4992.7335,0.236087377892169,0.211951050624305
"elk-115",30,776.179,4992.7335,776.803,4992.201,0.820324478483972,0.599014770079146
"elk-115",31,776.803,4992.201,777.215,4991.944,0.485585213942929,0.395808778087421
"elk-115",32,777.215,4991.944,776.667,4991.5185,0.693796980391238,0.526972742761559
"elk-115",33,776.667,4991.5185,776.743,4992.377,0.861857441808099,0.621574614059257
"elk-115",34,776.743,4992.377,777.165,4991.1405,1.30652831963184,0.835743502124555
"elk-115",35,777.165,4991.1405,776.851,4992.271,1.17329717037075,0.776245447732052
"elk-115",36,776.851,4992.271,776.984,4992.404,0.188090403795622,0.17234731551625
"elk-115",37,776.984,4992.404,776.822,4992.164,0.289558284288328,0.254299744455717
"elk-115",38,776.822,4992.164,777.162,4992.526,0.496632661028249,0.403217691911392
"elk-115",39,777.162,4992.526,777.185,4992.552,0.0347131099154196,0.0341241998059857
"elk-115",40,777.185,4992.552,776.718,4992.135,0.626081464347891,0.486173110945566
"elk-115",41,776.718,4992.135,777.094,4992.9665,0.912561367799448,0.648443373942027
"elk-115",42,777.094,4992.9665,777.088,4992.9225,0.044407206622349,0.043449458070226
"elk-115",43,777.088,4992.9225,777.269,4992.616,0.355953999837058,0.304505265518793
"elk-115",44,777.269,4992.616,777.061,4992.485,0.245814971065637,0.219789910996106
"elk-115",45,777.061,4992.485,776.142,4992.9625,1.0356482269574,0.710814307217172
"elk-115",46,776.142,4992.9625,776.946,4992.35,1.01072857385156,0.698497130945967
"elk-115",47,776.946,4992.35,777.029,4992.3645,0.0842570471830102,0.0808950033045706
"elk-115",48,777.029,4992.3645,776.523,4992.459,0.514748725107698,0.41524956719065
"elk-115",49,776.523,4992.459,777.113,4992.9765,0.784796948261141,0.57930465428552
"elk-115",50,777.113,4992.9765,776.837,4993.23,0.374750917277063,0.31827256363747
"elk-115",51,776.837,4993.23,776.709,4993.501,0.299708191412914,0.262139771126834
"elk-115",52,776.709,4993.501,776.399,4992.429,1.11592293640735,0.749491093865622
"elk-115",53,776.399,4992.429,776.396,4992.511,0.0820548596976438,0.078861881262496
"elk-115",54,776.396,4992.511,776.335,4992.602,0.109553639829994,0.103957808170504
"elk-115",55,776.335,4992.602,776.507,4992.569,0.175137089161605,0.161384812417415
"elk-115",56,776.507,4992.569,776.447,4992.4585,0.125738816600126,0.118439545973096
"elk-115",57,776.447,4992.4585,775.931,4992.7515,0.593384361101639,0.465860283118448
"elk-115",58,775.931,4992.7515,776.295,4993.025,0.45530017570829,0.375212185673954
"elk-115",59,776.295,4993.025,776.165,4992.9275,0.1625,0.150572858479374
"elk-115",60,776.165,4992.9275,776.072,4993.0045,0.120739388767709,0.113988636034206
"elk-115",61,776.072,4993.0045,776.184,4992.8255,0.211151604303638,0.191571646086073
"elk-115",62,776.184,4992.8255,777.064,4991.0725,1.96148132797638,1.08568959179398
"elk-115",63,777.064,4991.0725,776.652,4993.622,2.58257511991423,1.27608184907376
"elk-115",64,776.652,4993.622,776.719,4993.6555,0.074908277246243,0.0722353344475029
"elk-115",65,776.719,4993.6555,777.113,4993.766,0.409201967248448,0.343023563487695
"elk-115",66,777.113,4993.766,777.417,4991.386,2.39933657497234,1.22358028757462
"elk-115",67,777.417,4991.386,777.002,4992.3505,1.04999297616698,0.717836366884439
"elk-115",68,777.002,4992.3505,777.428,4991.3195,1.11554336536058,0.749311689838402
"elk-115",69,777.428,4991.3195,777.422,4991.305,0.0156923548264752,0.0155705029353598
"elk-115",70,777.422,4991.305,777.139,4991.241,0.290146514712826,0.254755789220932
"elk-115",71,777.139,4991.241,770.419,4992.371,6.8143451629632,2.0559611680355
"elk-115",72,770.419,4992.371,766.185,4998.858,7.74647823207424,2.16865113158664
"elk-115",73,766.185,4998.858,765.829,4998.566,0.460434577328854,0.378734047134269
"elk-115",74,765.829,4998.566,766.146,4997.978,0.668006736492979,0.511629342593255
"elk-115",75,766.146,4997.978,766.27,4998.23,0.280855834904671,0.247528475523353
"elk-115",76,766.27,4998.23,766.255,4998.0045,0.225998340701873,0.203755484088857
"elk-115",77,766.255,4998.0045,766.272,4998.0425,0.0416293165929973,0.0407861378066883
"elk-115",78,766.272,4998.0425,766.28,4998.0615,0.0206155281280883,0.0204059042371535
"elk-115",79,766.28,4998.0615,766.272,4998.056,0.0097082439194738,0.00966142171648071
"elk-115",80,766.272,4998.056,766.29,4998.0395,0.0244182308941496,0.0241248718406238
"elk-115",81,766.29,4998.0395,766.285,4998.0405,0.00509901951359278,0.00508606353678171
"elk-115",82,766.285,4998.0405,765.475,4999.743,1.88536634371148,1.05965187412085
