"ID","n_steps","model_key","model","logLik","n_parameters","BIC","PIT_KS_distance","PIT_CvM","PIT_90pct_coverage","delta_BIC_vs_gaussian_k3"
"elk-115",193,"gaussian_k2","Gaussian K=2",-104.479543797978,7,245.79791891829,0.0618881250625046,0.139269531560899,0.953367875647668,15.5055525107565
"elk-115",193,"gaussian_k3","Gaussian K=3",-78.3073518814326,14,230.292366407534,0.0622562155168193,0.128024213791635,0.948186528497409,0
"elk-115",193,"mixture_k2","Mixture K=2",-82.3427719450316,13,233.100516345827,0.0429256363590316,0.0530393628040052,0.922279792746114,2.80814993829298
"elk-163",158,"gaussian_k2","Gaussian K=2",-46.4598493930027,7,128.357864017194,0.0866054556170051,0.177146117367277,0.924050632911392,19.408752109683
"elk-163",158,"gaussian_k3","Gaussian K=3",-19.0363907225669,14,108.949111907511,0.0439093037653895,0.0331850054128424,0.930379746835443,0
"elk-163",158,"mixture_k2","Mixture K=2",-16.1613190154368,13,98.1363734602243,0.0464031336162375,0.0384454157730742,0.924050632911392,-10.812738447287
"elk-287",163,"gaussian_k2","Gaussian K=2",-56.6871477259289,7,149.030546857505,0.102151288469854,0.473950148772965,0.950920245398773,65.0859375129943
"elk-287",163,"gaussian_k3","Gaussian K=3",-6.31605326660808,14,83.9446093445108,0.0666862519910825,0.134640838390727,0.914110429447853,0
"elk-287",163,"mixture_k2","Mixture K=2",-4.49695871120056,13,75.212670032889,0.0479701819489813,0.0573372288394261,0.914110429447853,-8.7319393116218
"elk-363",217,"gaussian_k2","Gaussian K=2",-79.9891561985343,7,197.637593871852,0.0638900386412048,0.136387936966691,0.926267281105991,31.8053229271832
"elk-363",217,"gaussian_k3","Gaussian K=3",-45.2568539975511,14,165.832270944669,0.0498357534461619,0.084535362158777,0.940092165898618,0
"elk-363",217,"mixture_k2","Mixture K=2",-43.9568945588911,13,157.852454713808,0.0400253466901849,0.0653129606433309,0.930875576036866,-7.97981623086042
