"ID","gaussian_k3_state","mixture_k2_state","count","row_proportion"
"elk-115",1,1,19,1
"elk-115",2,1,142,0.986111111111111
"elk-115",3,1,0,0
"elk-115",1,2,0,0
"elk-115",2,2,2,0.0138888888888889
"elk-115",3,2,30,1
"elk-163",1,1,74,1
"elk-163",2,1,28,0.595744680851064
"elk-163",3,1,0,0
"elk-163",1,2,0,0
"elk-163",2,2,19,0.404255319148936
"elk-163",3,2,37,1
"elk-287",1,1,0,0
"elk-287",2,1,72,1
"elk-287",3,1,0,0
"elk-287",1,2,54,1
"elk-287",2,2,0,0
"elk-287",3,2,37,1
"elk-363",1,1,17,0.182795698924731
"elk-363",2,1,74,0.902439024390244
"elk-363",3,1,17,0.404761904761905
"elk-363",1,2,76,0.817204301075269
"elk-363",2,2,8,0.0975609756097561
"elk-363",3,2,25,0.595238095238095
