"ID","model","from_state","to_state","probability"
"elk-115","Gaussian K=2",1,1,0.888129483608749
"elk-115","Gaussian K=2",1,2,0.111870516391251
"elk-115","Gaussian K=2",2,1,0.4380250137135
"elk-115","Gaussian K=2",2,2,0.561974986286499
"elk-115","Gaussian K=3",1,1,0.697076763465338
"elk-115","Gaussian K=3",1,2,0.0842573372411207
"elk-115","Gaussian K=3",1,3,0.218665899293542
"elk-115","Gaussian K=3",2,1,0.0244823069477362
"elk-115","Gaussian K=3",2,2,0.890721762792589
"elk-115","Gaussian K=3",2,3,0.084795930259675
"elk-115","Gaussian K=3",3,1,0.0901504008546124
"elk-115","Gaussian K=3",3,2,0.387381491486697
"elk-115","Gaussian K=3",3,3,0.522468107658691
"elk-115","Mixture K=2",1,1,0.900233783069389
"elk-115","Mixture K=2",1,2,0.0997662169306114
"elk-115","Mixture K=2",2,1,0.535389546151804
"elk-115","Mixture K=2",2,2,0.464610453848196
"elk-163","Gaussian K=2",1,1,0.768704198487389
"elk-163","Gaussian K=2",1,2,0.231295801512611
"elk-163","Gaussian K=2",2,1,0.435130102200768
"elk-163","Gaussian K=2",2,2,0.564869897799232
"elk-163","Gaussian K=3",1,1,0.669065288364632
"elk-163","Gaussian K=3",1,2,0.163900468942263
"elk-163","Gaussian K=3",1,3,0.167034242693104
"elk-163","Gaussian K=3",2,1,0.16990736957949
"elk-163","Gaussian K=3",2,2,0.620749741200077
"elk-163","Gaussian K=3",2,3,0.209342889220432
"elk-163","Gaussian K=3",3,1,0.387194594955549
"elk-163","Gaussian K=3",3,2,0.196453402187633
"elk-163","Gaussian K=3",3,3,0.416352002856818
"elk-163","Mixture K=2",1,1,0.763238680204395
"elk-163","Mixture K=2",1,2,0.236761319795605
"elk-163","Mixture K=2",2,1,0.396917480062555
"elk-163","Mixture K=2",2,2,0.603082519937445
"elk-287","Gaussian K=2",1,1,0.870961812816233
"elk-287","Gaussian K=2",1,2,0.129038187183767
"elk-287","Gaussian K=2",2,1,0.390154895343507
"elk-287","Gaussian K=2",2,2,0.609845104656493
"elk-287","Gaussian K=3",1,1,0.70827939175464
"elk-287","Gaussian K=3",1,2,0.0186588328208278
"elk-287","Gaussian K=3",1,3,0.273061775424532
"elk-287","Gaussian K=3",2,1,4.70576513747398e-08
"elk-287","Gaussian K=3",2,2,0.999999952940869
"elk-287","Gaussian K=3",2,3,1.48006106601117e-12
"elk-287","Gaussian K=3",3,1,0.408825950194062
"elk-287","Gaussian K=3",3,2,1.57335694916207e-11
"elk-287","Gaussian K=3",3,3,0.591174049790205
"elk-287","Mixture K=2",1,1,0.999999999998127
"elk-287","Mixture K=2",1,2,1.87270242333195e-12
"elk-287","Mixture K=2",2,1,0.0109905121493007
"elk-287","Mixture K=2",2,2,0.989009487850699
"elk-363","Gaussian K=2",1,1,0.689574843831728
"elk-363","Gaussian K=2",1,2,0.310425156168272
"elk-363","Gaussian K=2",2,1,0.390427902621203
"elk-363","Gaussian K=2",2,2,0.609572097378796
"elk-363","Gaussian K=3",1,1,0.804349958181914
"elk-363","Gaussian K=3",1,2,0.0554710290112
"elk-363","Gaussian K=3",1,3,0.140179012806886
"elk-363","Gaussian K=3",2,1,2.64042149666534e-06
"elk-363","Gaussian K=3",2,2,0.800500360907685
"elk-363","Gaussian K=3",2,3,0.199496998670818
"elk-363","Gaussian K=3",3,1,0.391785572659881
"elk-363","Gaussian K=3",3,2,0.246369109577086
"elk-363","Gaussian K=3",3,3,0.361845317763033
"elk-363","Mixture K=2",1,1,0.891789254445719
"elk-363","Mixture K=2",1,2,0.108210745554281
"elk-363","Mixture K=2",2,1,0.098401687838219
"elk-363","Mixture K=2",2,2,0.901598312161781
