"ID","model","floor","agreement"
"elk-115","M21",0.025,1
"elk-115","M21",0.1,1
"elk-115","M22",0.025,0.559585492227979
"elk-115","M22",0.1,0.989637305699482
"elk-115","G2",0.025,1
"elk-115","G2",0.1,1
"elk-163","M21",0.025,0.981012658227848
"elk-163","M21",0.1,0.930379746835443
"elk-163","M22",0.025,0.993670886075949
"elk-163","M22",0.1,0.835443037974684
"elk-163","G2",0.025,1
"elk-163","G2",0.1,1
"elk-287","M21",0.025,1
"elk-287","M21",0.1,0.993865030674847
"elk-287","M22",0.025,1
"elk-287","M22",0.1,1
"elk-287","G2",0.025,1
"elk-287","G2",0.1,1
"elk-363","M21",0.025,1
"elk-363","M21",0.1,1
"elk-363","M22",0.025,1
"elk-363","M22",0.1,0.921658986175115
"elk-363","G2",0.025,1
"elk-363","G2",0.1,1
