"ID","fraction","model","n","log_score"
"elk-115",0.6,"G2",39,-36.4622064194517
"elk-115",0.6,"G3",39,-39.493077468116
"elk-115",0.6,"G4",39,-49.8198087865057
"elk-115",0.6,"M21",39,-38.6026820253285
"elk-115",0.6,"M22",39,-39.2865672010819
"elk-115",0.8,"G2",39,-15.3847570634584
"elk-115",0.8,"G3",39,-8.33099057510365
"elk-115",0.8,"G4",39,-1.51886229834218
"elk-115",0.8,"M21",39,-11.8119577404904
"elk-115",0.8,"M22",39,-12.0130283021739
"elk-163",0.6,"G2",32,-10.650167386958
"elk-163",0.6,"G3",32,-7.60306052113349
"elk-163",0.6,"G4",32,-12.5931159385545
"elk-163",0.6,"M21",32,-7.75097222900462
"elk-163",0.6,"M22",32,-8.05627509209064
"elk-163",0.8,"G2",32,-0.838959650571033
"elk-163",0.8,"G3",32,4.40796464941409
"elk-163",0.8,"G4",32,2.76750408543896
"elk-163",0.8,"M21",32,7.77523900425177
"elk-163",0.8,"M22",32,9.78522583649093
"elk-287",0.6,"G2",33,-30.93430650855
"elk-287",0.6,"G3",33,-30.9920159662548
"elk-287",0.6,"G4",33,-32.3052654356781
"elk-287",0.6,"M21",33,-27.4396640511377
"elk-287",0.6,"M22",33,-20.4200162734038
"elk-287",0.8,"G2",33,-21.4547343688807
"elk-287",0.8,"G3",33,9.96685778131283
"elk-287",0.8,"G4",33,-20.1466872906922
"elk-287",0.8,"M21",33,-15.2851504146888
"elk-287",0.8,"M22",33,-3.90506511416835
"elk-363",0.6,"G2",43,-28.6486694178103
"elk-363",0.6,"G3",43,-23.8182423770342
"elk-363",0.6,"G4",43,-27.5440014823523
"elk-363",0.6,"M21",43,-25.1677681023082
"elk-363",0.6,"M22",43,-24.5235623661805
"elk-363",0.8,"G2",44,-14.1507219296523
"elk-363",0.8,"G3",44,-4.38797546002086
"elk-363",0.8,"G4",44,-9.57357167471793
"elk-363",0.8,"M21",44,-6.98387623656455
"elk-363",0.8,"M22",44,-10.6508516051816
