"ID","model","n","log_score","coverage","KS","negative_mass"
"elk-115","G2",78,-51.8469634829102,0.948717948717949,0.119652747396072,0.0613994867101015
"elk-115","G3",78,-47.8240680432197,0.871794871794872,0.123519878003431,0.035485080432681
"elk-115","G4",78,-51.3386710848479,0.935897435897436,0.0812155353394529,0.039265642124314
"elk-115","M21",78,-50.414639765819,0.846153846153846,0.111981412821396,0.0303010412697526
"elk-115","M22",78,-51.2995955032558,0.846153846153846,0.10719591552451,0.0270543858027712
"elk-163","G2",64,-11.489127037529,0.984375,0.17167148474088,0.0805225277664475
"elk-163","G3",64,-3.1950958717194,0.984375,0.265079144372947,0.0595536285577837
"elk-163","G4",64,-9.82561185311554,0.96875,0.276221508584233,0.0464612472088771
"elk-163","M21",64,0.0242667752471455,0.96875,0.171940149052572,0.0484039647564837
"elk-163","M22",64,1.72895074440029,0.9375,0.184502709367203,0.0503064532665164
"elk-287","G2",66,-52.3890408774307,1,0.245573519688327,0.0437067450558165
"elk-287","G3",66,-21.025158184942,1,0.173382691419389,0.0395434077682038
"elk-287","G4",66,-52.4519527263703,0.984848484848485,0.178273639466717,0.024424230422749
"elk-287","M21",66,-42.7248144658266,1,0.218821206655635,0.0352086745286532
"elk-287","M22",66,-24.3250813875721,0.984848484848485,0.227713102338345,0.0188147529519774
"elk-363","G2",87,-42.7993913474626,0.873563218390805,0.404277921757641,0.0392230118002342
"elk-363","G3",87,-28.2062178370551,0.666666666666667,0.36488538846506,0.0129784845931462
"elk-363","G4",87,-37.1175731570702,0.632183908045977,0.382813957988044,0.0103476876314555
"elk-363","M21",87,-32.1516443388728,0.655172413793103,0.384535481252023,0.0116854318133333
"elk-363","M22",87,-35.1744139713621,0.632183908045977,0.370595488805148,0.0103469045372955
