"ID","floor","fraction","n_train","model","log_likelihood","n_parameters","BIC","converged","relative_gain","iterations","n_modes","modes","floor_hits","min_transition","max_self","refined_within_001","refined_total"
"elk-115",0.025,1,193,"M21",-87.8378171343639,10,228.302536157777,TRUE,8.55395780451884e-10,2,2,"0.0886;0.46824",0,0.041627268215154,0.958372731784846,0,20
"elk-115",0.025,1,193,"M22",-81.104596520169,13,230.624165496102,TRUE,5.52864658050122e-09,52,3,"0.03033;0.29089;1.39113",0,0.145580796112117,0.854419203887883,6,20
"elk-115",0.025,1,193,"G2",-104.479514151493,7,245.797859625321,TRUE,1.03367738189135e-10,2,1,"0.37752",0,0.111703564929148,0.888296435070852,20,20
"elk-115",0.025,1,193,"G3",-71.5682284525239,14,216.814119549716,TRUE,2.82328206256559e-09,11,3,"0.0203;0.4265;1.39018",1,0.0193071043980523,0.882770354778306,21,21
"elk-115",0.025,1,193,"G4",-52.3849296861519,23,225.811733717116,TRUE,3.9174502520117e-09,12,2,"0.02281;0.30642",1,2.23861719600698e-12,0.693262416600329,21,21
"elk-163",0.025,1,158,"M21",-21.4957499606671,10,93.6174502516039,TRUE,4.2987773022208e-09,20,3,"0.05427;0.23071;1.45439",0,0.213347273909319,0.786652726090681,20,20
"elk-163",0.025,1,158,"M22",-13.2411242568865,13,92.2959839431235,TRUE,8.14320578889133e-09,99,4,"0.05574;0.21853;0.45583;1.83257",0,0.237350074839114,0.762649925160886,20,20
"elk-163",0.025,1,158,"G2",-46.459823046667,7,128.357811324523,TRUE,1.07471217026714e-09,2,2,"0.11307;1.29014",0,0.231388581143822,0.768611418856178,20,20
"elk-163",0.025,1,158,"G3",-17.0801447825658,14,105.036620027509,TRUE,5.87648677835607e-09,21,3,"0.05744;0.26563;1.62403",0,0.180281118420265,0.593235112233375,21,21
"elk-163",0.025,1,158,"G4",-2.13047479744537,23,120.700635354511,TRUE,6.84600183074473e-09,46,4,"0.06642;0.24995;0.44322;1.83106",0,3.23711433418923e-12,0.658974767224032,0,21
