"ID","floor","fraction","n_train","model","state","component","mean","sd","weight","occupation","self_transition"
"elk-115",0.025,1,193,"M21",1,1,0.458075939119142,0.24259119885413,1,0.51693841978346,0.958372731784846
"elk-115",0.025,1,193,"M21",2,1,0.0791582193676757,0.0722667535869889,0.375080322347491,0.48306158021654,0.95484142157954
"elk-115",0.025,1,193,"M21",2,2,1.09327771830768,0.70276669924315,0.624919677652509,0.48306158021654,0.95484142157954
"elk-115",0.025,1,193,"M22",1,1,0.0290275998980921,0.0272995260163767,0.293703209965825,0.418251170926971,0.807292051670469
"elk-115",0.025,1,193,"M22",1,2,0.630127197130449,0.176775080573918,0.706296790034175,0.418251170926971,0.807292051670469
"elk-115",0.025,1,193,"M22",2,1,0.269258984366867,0.137446857819415,0.64170038193,0.581748829073029,0.854419203887883
"elk-115",0.025,1,193,"M22",2,2,1.39582123948599,0.634582939260271,0.35829961807,0.581748829073029,0.854419203887883
"elk-115",0.025,1,193,"G2",1,1,0.371955529974262,0.265076898044173,1,0.788213226608479,0.888296435070852
"elk-115",0.025,1,193,"G2",2,1,1.35982311252797,0.669146308597626,1,0.211786773391521,0.562728926979885
"elk-115",0.025,1,193,"G3",1,1,0.0194293944588097,0.025,1,0.0895059456319253,0.76776742875634
"elk-115",0.025,1,193,"G3",2,1,0.421660656630801,0.252097700790891,1,0.716247393232723,0.882770354778306
"elk-115",0.025,1,193,"G3",3,1,1.42819740347815,0.64868125051569,1,0.194246661135352,0.543643186651341
"elk-115",0.025,1,193,"G4",1,1,0.0216597726282529,0.025,1,0.104344427166202,0.666118700364797
"elk-115",0.025,1,193,"G4",2,1,0.287554008372874,0.15536469892175,1,0.42906278757903,0.68919467911585
"elk-115",0.025,1,193,"G4",3,1,0.73356149818201,0.294393440217997,1,0.361094454577417,0.693262416600329
"elk-115",0.025,1,193,"G4",4,1,1.80708183833724,0.574570888546564,1,0.105498330677351,0.622315514914274
