"ID","floor","fraction","n_train","model","stage","start","log_likelihood","iterations","relative_gain","converged","minimum_transition","maximum_self_transition","floor_hits"
"elk-115",0.025,1,193,"M21","screen",1,-89.9795548769601,22,7.47945037261363e-05,FALSE,0.109351207600023,0.890648792399977,0
"elk-115",0.025,1,193,"M21","screen",2,-96.1432783541982,70,0.000237911670750066,FALSE,0.0479023338146748,0.952097666185325,0
"elk-115",0.025,1,193,"M21","screen",3,-89.9507156248802,20,4.14537638035066e-05,FALSE,0.107896949859049,0.89210305014095,0
"elk-115",0.025,1,193,"M21","screen",4,-89.9900442224047,25,8.07905285576946e-05,FALSE,0.108139699051801,0.891860300948199,0
"elk-115",0.025,1,193,"M21","screen",5,-89.9878532922669,31,7.46102551634087e-05,FALSE,0.107631474847574,0.892368525152426,0
"elk-115",0.025,1,193,"M21","screen",6,-88.946897310199,28,4.4991027186844e-05,FALSE,0.111198991387137,0.888801008612863,0
"elk-115",0.025,1,193,"M21","screen",7,-89.9732739914118,32,7.31477186444723e-05,FALSE,0.103748207485597,0.896251792514403,0
"elk-115",0.025,1,193,"M21","screen",8,-89.991673206982,55,8.10005255828047e-05,FALSE,0.107375735415972,0.892624264584028,0
"elk-115",0.025,1,193,"M21","screen",9,-89.9853585925783,24,7.31394155034286e-05,FALSE,0.105725864168315,0.894274135831685,0
"elk-115",0.025,1,193,"M21","screen",10,-89.9843153796339,23,7.71465515682395e-05,FALSE,0.108907070181073,0.891092929818927,0
"elk-115",0.025,1,193,"M21","screen",11,-89.9889194540694,52,7.96906680473009e-05,FALSE,0.105720611952579,0.894279388047422,0
"elk-115",0.025,1,193,"M21","screen",12,-88.9475565547086,32,4.98032859489752e-05,FALSE,0.110906928754863,0.889093071245137,0
"elk-115",0.025,1,193,"M21","screen",13,-88.9463763379927,40,4.06450021611009e-05,FALSE,0.110796251355632,0.889203748644368,0
"elk-115",0.025,1,193,"M21","screen",14,-93.2776254931826,70,0.00340062372702605,FALSE,0.0631648011444217,0.936835198855578,0
"elk-115",0.025,1,193,"M21","screen",15,-89.9544337874876,13,6.8562228994509e-05,FALSE,0.110689115215349,0.889310884784651,0
"elk-115",0.025,1,193,"M21","screen",16,-89.9884624400705,30,7.81228560463769e-05,FALSE,0.105849236375525,0.894150763624476,0
"elk-115",0.025,1,193,"M21","screen",17,-89.9447687217093,14,2.9825832024479e-05,FALSE,0.10593000676196,0.89406999323804,0
"elk-115",0.025,1,193,"M21","screen",18,-89.9344681544621,14,5.17691633385079e-05,FALSE,0.110941334571389,0.889058665428611,0
"elk-115",0.025,1,193,"M21","screen",19,-89.9880345697368,30,7.90953018153611e-05,FALSE,0.105552425171343,0.894447574828657,0
"elk-115",0.025,1,193,"M21","screen",20,-89.9932848388319,31,8.37860752921185e-05,FALSE,0.107050511552583,0.892949488447417,0
"elk-115",0.025,1,193,"M21","screen",21,-88.9462697095442,34,3.99300102838684e-05,FALSE,0.11085582216484,0.88914417783516,0
"elk-115",0.025,1,193,"M21","screen",22,-89.9861036467966,16,7.30134286158874e-05,FALSE,0.107898959986021,0.892101040013979,0
"elk-115",0.025,1,193,"M21","screen",23,-89.9041946638632,18,6.88655002891329e-05,FALSE,0.111170263827928,0.888829736172072,0
"elk-115",0.025,1,193,"M21","screen",24,-89.9930201446401,21,8.34023964152841e-05,FALSE,0.106892390831927,0.893107609168073,0
"elk-115",0.025,1,193,"M21","screen",25,-89.986354801713,20,7.92048519721997e-05,FALSE,0.108744401196381,0.891255598803619,0
"elk-115",0.025,1,193,"M21","screen",26,-88.9486215962625,23,5.74892547041712e-05,FALSE,0.110713067630454,0.889286932369546,0
"elk-115",0.025,1,193,"M21","screen",27,-89.9658007817828,18,6.58723467912331e-05,FALSE,0.110029281787616,0.889970718212384,0
"elk-115",0.025,1,193,"M21","screen",28,-89.987657742199,26,7.33867585624433e-05,FALSE,0.107097176543758,0.892902823456242,0
"elk-115",0.025,1,193,"M21","screen",29,-89.9716914582544,15,6.01915952689084e-05,FALSE,0.105315396662807,0.894684603337193,0
"elk-115",0.025,1,193,"M21","screen",30,-89.9503909420044,16,6.83631652676069e-05,FALSE,0.110874435998796,0.889125564001204,0
"elk-115",0.025,1,193,"M21","screen",31,-89.9920801424641,24,8.34855555332263e-05,FALSE,0.107943003879788,0.892056996120212,0
"elk-115",0.025,1,193,"M21","screen",32,-89.9715507350654,17,6.47451351633176e-05,FALSE,0.109462859557758,0.890537140442242,0
"elk-115",0.025,1,193,"M21","screen",33,-89.9909639500148,37,8.02105703515453e-05,FALSE,0.106490277323047,0.893509722676953,0
"elk-115",0.025,1,193,"M21","screen",34,-88.9467152885498,36,4.32069767741563e-05,FALSE,0.110781628327662,0.889218371672338,0
"elk-115",0.025,1,193,"M21","screen",35,-89.9904384430151,17,8.10320806001047e-05,FALSE,0.106736198544708,0.893263801455292,0
"elk-115",0.025,1,193,"M21","screen",36,-89.9717064959268,17,6.49796614379862e-05,FALSE,0.109500911891333,0.890499088108667,0
"elk-115",0.025,1,193,"M21","screen",37,-89.9708664699542,20,6.33101139342099e-05,FALSE,0.109472291612825,0.890527708387175,0
"elk-115",0.025,1,193,"M21","screen",38,-89.9893034932854,47,8.18387750581563e-05,FALSE,0.10549308191411,0.89450691808589,0
"elk-115",0.025,1,193,"M21","screen",39,-89.9908572731919,20,8.08146950612915e-05,FALSE,0.107808920754561,0.892191079245439,0
"elk-115",0.025,1,193,"M21","screen",40,-89.9891176172202,23,7.6978557239207e-05,FALSE,0.107633087150245,0.892366912849755,0
"elk-115",0.025,1,193,"M21","screen",41,-89.9490643021327,20,5.15446782544386e-05,FALSE,0.110317909485536,0.889682090514464,0
"elk-115",0.025,1,193,"M21","screen",42,-89.952790469291,17,6.41626868689353e-05,FALSE,0.110347000254507,0.889652999745493,0
"elk-115",0.025,1,193,"M21","screen",43,-89.9878538165739,24,7.56171515183803e-05,FALSE,0.107894403378471,0.892105596621529,0
"elk-115",0.025,1,193,"M21","screen",44,-89.9865464825379,40,7.59413389670579e-05,FALSE,0.10561992986103,0.89438007013897,0
"elk-115",0.025,1,193,"M21","screen",45,-89.9284532809525,15,4.26119011866909e-05,FALSE,0.110250988337785,0.889749011662215,0
"elk-115",0.025,1,193,"M21","screen",46,-89.9519412355892,18,5.54979962249687e-05,FALSE,0.110372254323744,0.889627745676256,0
"elk-115",0.025,1,193,"M21","screen",47,-88.9470023923241,36,4.5769036945194e-05,FALSE,0.111098261700647,0.888901738299353,0
"elk-115",0.025,1,193,"M21","screen",48,-89.9888288596521,34,7.56457696592033e-05,FALSE,0.107283924109038,0.892716075890962,0
"elk-115",0.025,1,193,"M21","screen",49,-88.9477759328596,19,4.3949898627545e-05,FALSE,0.113012181636163,0.886987818363837,0
