"Package","Version","Built"
"affxparser","1.80.0","4.5.0"
"aroma.affymetrix","3.2.3","4.5.0"
"aroma.apd","0.7.1","4.5.0"
"aroma.core","3.3.2","4.5.0"
"aroma.light","3.38.0","4.5.0"
"calmate","0.13.0","4.5.0"
"DNAcopy","1.82.0","4.5.0"
"PSCBS","0.68.0","4.5.0"
"R.devices","2.17.4","4.5.2"
"R.filesets","2.15.1","4.5.0"
"R.huge","0.10.1","4.5.0"
"sfit","0.3.2-9001","4.5.0"
"alphahull","2.5","4.5.0"
"anytime","0.3.13","4.5.2"
"autovi","0.4.1","4.5.0"
"backports","1.5.1","4.5.2"
"bandicoot","1.0.1","4.5.0"
"base64enc","0.1-6","4.5.2"
"BB","2026.1.0","4.5.2"
"BiocManager","1.30.27","4.5.2"
"bslib","0.12.0","4.5.2"
"cassowaryr","2.0.2","4.5.0"
"checkmate","2.3.4","4.5.2"
"CircularRegression","0.5.2","4.5.0"
"cli","3.6.6","4.5.2"
"commonmark","2.0.0","4.5.0"
"conicfit","1.0.4","4.5.0"
"covr","3.6.5","4.5.0"
"crosstalk","1.2.2","4.5.0"
"cubature","2.1.4-1","4.5.2"
"data.tree","1.2.0","4.5.0"
"DBI","1.3.0","4.5.2"
"devtools","2.5.2","4.5.2"
"DonutMap","0.0.0.9000","4.5.0"
"earth","5.3.5","4.5.2"
"ellipsis","0.3.3","4.5.2"
"energy","1.7-12","4.5.0"
"evalueHMM","0.1.0","4.5.0"
"extraDistr","1.10.0.2","4.5.2"
"fable","0.5.0","4.5.2"
"fabletools","0.7.0","4.5.2"
"feasts","0.5.0","4.5.2"
"fs","2.1.0","4.5.2"
"geigen","2.3","4.5.0"
"ggcircular","0.1.0","4.5.0"
"ggdist","3.3.3","4.5.0"
"ggtime","0.2.0","4.5.2"
"glue","1.8.1","4.5.2"
"highr","0.12","4.5.2"
"hmmSSF","0.1.0","4.5.0"
"HMMSSFGenerativeRepair","0.1.0","4.5.0"
"htmltools","0.5.9","4.5.2"
"htmlwidgets","1.6.4","4.5.0"
"isspca","0.1.0","4.5.0"
"jsonlite","2.0.0","4.5.0"
"knitr","1.51","4.5.2"
"lattice","0.22-9","4.5.2"
"lazyeval","0.2.3","4.5.2"
"leaflet","2.2.3","4.5.0"
"leaflet.esri","1.0.0","4.5.0"
"leaflet.extras","2.0.2","4.5.2"
"leaflet.indoor","0.1.0.9000","4.5.0"
"leaflet.providers","3.0.0","4.5.2"
"learnrTrackR","0.0.1","4.5.0"
"lintr","3.4.0","4.5.2"
"magrittr","2.0.5","4.5.2"
"Matrix","1.7-5","4.5.2"
"matrixcalc","1.0-6","4.5.0"
"mmrm","0.3.18","4.5.2"
"momentuHMM","1.5.8","4.5.2"
"mpoly","1.1.2","4.5.0"
"orthopolynom","1.0-6.1","4.5.0"
"otel","0.2.0","4.5.0"
"pak","0.11.1","4.5.2"
"partitions","1.10-9","4.5.0"
"pingr","2.0.5","4.5.0"
"pkgbuild","1.4.8","4.5.0"
"pkgdown","2.2.1","4.5.2"
"pkgload","1.5.3","4.5.2"
"plotmo","3.7.0","4.5.2"
"plotrix","3.8-14","4.5.2"
"png","0.1-9","4.5.2"
"polynom","1.4-1","4.5.0"
"promises","1.5.0","4.5.0"
"qdapRegex","0.7.10","4.5.0"
"quarto","1.5.1","4.5.0"
"R.rsp","0.46.0","4.5.0"
"rcartocolor","2.1.2","4.5.0"
"Rcpp","1.1.2","4.5.2"
"rdtools","0.1.0","4.5.2"
"rlang","1.3.0","4.5.2"
"rmarkdown","2.32","4.5.2"
"roxygen2","8.1.0","4.5.2"
"rticles","0.27","4.5.0"
