dataset,model,n,coverage95,pit_KS_distance,residual_lag1,absolute_residual_lag1
validation,G2,52294,0.989195701227674,0.131123015481458,-0.000425358741426203,0.249477320331178
validation,M21,52294,0.978257543886488,0.0618492881651746,-0.000264418858821563,0.129695490090293
validation,G3,52294,0.978544383676904,0.0618403781666468,-0.00472731726744483,0.132433359265778
validation,G4,52294,0.97032164301832,0.0364217278375759,-0.00756494132134296,0.0520247906778548
validation,M221,52294,0.963552223964508,0.0552017704053675,-0.000669684648510093,0.0565166760887476
validation,G5,52294,0.962787317856733,0.0552626664803798,-0.00576187686097333,0.0631664642679504
validation,F2,52294,0.970646728114124,0.0539749651500121,0.00117177822153837,0.139032616418432
validation,F3,52294,0.962997667036371,0.0619523010220753,-0.000813656422724717,0.0564383713555634
confirmation,G2,25413,0.983551725494826,0.0335642014901712,-0.00668593363954929,0.454288131392228
confirmation,M21,25413,0.981072679337347,0.0364411207123776,-0.00644535826131005,0.395556334975097
confirmation,G3,25413,0.980993979459332,0.0366962644701897,-0.00853351314575129,0.397124772338614
confirmation,G4,25413,0.980757879825286,0.0338154200069557,-0.0119023872076035,0.354521913777367
confirmation,M221,25413,0.954786920080274,0.0121422482134612,-0.00642544824315809,0.142201130862271
confirmation,G5,25413,0.953999921300122,0.0108985607493745,-0.0116848830527659,0.148353616530628
confirmation,F2,25413,0.965529453429347,0.0663926139776297,-0.00504004798662333,0.382653135012647
confirmation,F3,25413,0.955219769409357,0.00651885601771403,-0.00662803758730459,0.141456231341508
