stage,start,log_likelihood
screen,screen_01,11320.9257719951
screen,screen_02,11213.4316377559
screen,screen_03,11000.5099365047
screen,screen_04,11005.6892501076
screen,screen_05,11321.3859605853
screen,screen_06,11321.778453227
screen,screen_07,11321.3011055822
screen,screen_08,11321.3758107837
screen,screen_09,11003.5983939568
screen,screen_10,11321.3697868855
screen,screen_11,11007.5831888692
screen,screen_12,11321.7976754661
screen,screen_13,11321.7991736226
screen,screen_14,11008.9421719083
screen,screen_15,11321.3275209785
screen,screen_16,11002.5955079015
screen,screen_17,10993.6416652198
screen,screen_18,10963.2817530921
screen,screen_19,11321.3804163206
screen,screen_20,11321.3816865354
screen,screen_21,11321.3145996369
screen,screen_22,10441.6610499346
screen,screen_23,11170.6417836334
screen,screen_24,11321.4329583223
screen,screen_25,11321.398009804
screen,screen_26,11321.7725419351
screen,screen_27,11006.8304188149
screen,screen_28,11321.4102319863
screen,screen_29,11321.3868655723
screen,screen_30,11321.338049212
screen,screen_31,11000.809541713
screen,screen_32,10997.4614240431
screen,screen_33,11321.4066292937
screen,screen_34,10465.6472063816
screen,screen_35,11321.7765442764
screen,screen_36,11321.3860439562
screen,screen_37,11321.8113783209
screen,screen_38,11321.7891510591
screen,screen_39,10440.6948771284
screen,screen_40,11321.8074247314
refine,refine_37,11321.8456655639
refine,refine_40,11321.8458036252
refine,refine_13,11321.8457409846
refine,refine_12,11321.8454877338
refine,refine_38,11321.8320895516
refine,refine_06,11321.845743391
refine,refine_35,11321.8454687181
refine,refine_26,11321.8458172487
refine,nested_1_zero,10438.680988305
refine,nested_1_positive,11321.8454987878
refine,nested_1_negative,11321.8454987878
refine,nested_2_zero,10438.6809883051
refine,nested_2_positive,11009.1435397867
refine,nested_2_negative,11009.1435397867
refine,nested_3_zero,10438.680988305
refine,nested_3_positive,11321.8454970658
refine,nested_3_negative,11321.8454970658
