"T","rep","seed","logLik_gauss_K2","logLik_gauss_K3","logLik_mix_K2_M2","BIC_gauss_K2","BIC_gauss_K3","BIC_mix_K2_M2","delta_BIC_gauss_K3_minus_K2","delta_BIC_mix_K2_minus_gauss_K3","gaussian_BIC_favours_K3","enriched_BIC_favours_K2_mix","mix_state1_mean","mix_state2_mean","mix_state1_occ","mix_state2_occ"
500,1,26260611,-773.369988167178,-702.878702102074,-697.658008666815,1590.24223302331,1492.76191758206,1476.10592261312,-97.4803154412527,-16.6559949689395,TRUE,TRUE,-0.592305314878445,3.82376357151682,0.551425343575217,0.448574656424784
500,2,26260612,-719.622509984198,-668.311556027316,-668.408466010862,1482.74727665735,1423.62762543254,1417.60683730121,-59.1196512248105,-6.02078813132994,TRUE,TRUE,-0.430894130329458,3.75732191911337,0.452019269089554,0.547980730910447
500,3,26260613,-619.765076495276,-611.051782654875,-590.920441100312,1283.03240967951,1309.10807868766,1262.63078748011,26.0756690081537,-46.477291207548,FALSE,TRUE,-0.50614783779949,3.87406464588099,0.249998755931778,0.750001244068223
500,4,26260614,-713.948581124502,-667.471738363878,-669.605392630231,1471.39941893796,1421.94799010567,1420.00069053995,-49.4514288322923,-1.94729956571655,TRUE,TRUE,-0.54131362888551,3.71958898117819,0.398914117268263,0.601085882731737
500,5,26260615,-779.103739568732,-710.957602561934,-711.202427025333,1601.70973582642,1508.91971850178,1503.19475933015,-92.7900173246403,-5.7249591716245,TRUE,TRUE,-0.488079843310523,3.79947413990793,0.523984775476242,0.476015224523758
500,6,26260616,-740.457502596248,-694.474994993748,-695.132424637607,1524.41726188145,1475.95450336541,1471.0547545547,-48.4627585160449,-4.8997488107052,TRUE,TRUE,-0.566071082150623,3.81597699082909,0.419857353895935,0.580142646104065
500,7,26260617,-690.523941428418,-682.62960668038,-644.680086141271,1424.55013954579,1452.26372673867,1370.15007756203,27.7135871928795,-82.1136491766404,FALSE,TRUE,-0.581328394332755,3.7846477321917,0.364185946932024,0.635814053067976
500,8,26260618,-695.880198067748,-653.264855779859,-651.437187849323,1435.26265282445,1393.53422493763,1383.66428097814,-41.7284278868231,-9.86994395949409,TRUE,TRUE,-0.419084887119867,3.85381996101278,0.342067578878758,0.657932421121243
500,9,26260619,-707.027027749908,-670.18434826842,-670.526057958959,1457.55631218877,1427.37320991475,1421.84202119741,-30.1831022740212,-5.53118871734318,TRUE,TRUE,-0.524888595586627,3.77848757704082,0.38987463673317,0.61012536326683
500,10,26260620,-741.831228705477,-690.587534401444,-691.241127353658,1527.16471409991,1468.1795821808,1463.27215998681,-58.9851319191118,-4.90742219399249,TRUE,TRUE,-0.54029700938786,3.83041924302107,0.475965883874823,0.524034116125177
500,11,26260621,-733.265026152901,-666.587419788127,-664.900023710915,1510.03230899476,1420.17935295416,1410.58995270132,-89.8529560405927,-9.58940025284642,TRUE,TRUE,-0.508134621590628,3.82873188509649,0.479864765013608,0.520135234986392
500,12,26260622,-693.187533247133,-645.802641301445,-646.675312997075,1429.87732318322,1378.6097959808,1374.14053127364,-51.2675272024217,-4.46926470716107,TRUE,TRUE,-0.531186921811187,3.76122182659627,0.39292317665459,0.60707682334541
500,13,26260623,-718.369099492105,-672.246236320157,-667.239993282557,1480.24045567316,1431.49698601823,1415.2698918446,-48.7434696549396,-16.2270941736222,TRUE,TRUE,-0.45752497139573,3.74343781256914,0.382946227278506,0.617053772721494
500,14,26260624,-738.607903184681,-685.82167954283,-687.823903473021,1520.71806305832,1458.64787246357,1456.43771222553,-62.0701905947471,-2.21016023803963,TRUE,TRUE,-0.482567095845513,3.84702070612479,0.418859425676768,0.581140574323232
500,15,26260625,-676.701156364581,-631.294450421266,-632.451457732087,1396.90456941812,1349.59341422044,1345.69282074366,-47.3111551976738,-3.90059347678175,TRUE,TRUE,-0.476171060609226,3.76979281213181,0.373940158119447,0.626059841880552
500,16,26260626,-760.027563951507,-756.459758220665,-701.217749190696,1563.55738459197,1599.92402981924,1483.22540366088,36.3666452272712,-116.69862615836,FALSE,TRUE,-0.645488395367111,3.79475335632252,0.377470595678114,0.622529404321886
500,17,26260627,-775.83997945301,-709.403593075792,-709.362467308489,1595.18221559498,1505.81169952949,1499.51483989647,-89.3705160654822,-6.29685963302813,TRUE,TRUE,-0.500086280726625,3.79177300035205,0.516744946980722,0.483255053019278
500,18,26260628,-700.429199061507,-651.435578146348,-652.268327658901,1444.36065481197,1389.87566967061,1385.32656059729,-54.4849851413644,-4.54910907331555,TRUE,TRUE,-0.501258981745462,3.77336165355786,0.387484556625841,0.612515443374159
500,19,26260629,-721.82034252969,-666.633105906802,-669.090658426724,1487.14294174834,1420.27072519151,1418.97122213294,-66.8722165568208,-1.29950305857915,TRUE,TRUE,-0.591050873694574,3.82340902860577,0.43406294176061,0.56593705823939
500,20,26260630,-679.258209262428,-621.853950102658,-623.320012496484,1402.01867521381,1330.71241358323,1327.42993027246,-71.306261630584,-3.28248331077134,TRUE,TRUE,-0.630474652873043,3.81989643649538,0.415982129498194,0.584017870501806
500,21,26260631,-770.636695408674,-700.167902675624,-699.023358756975,1584.7756475063,1487.34031872916,1478.83662279344,-97.435328777146,-8.50369593572032,TRUE,TRUE,-0.502596334229235,3.75256232071239,0.531590904003642,0.468409095996358
500,22,26260632,-704.981958832035,-649.639218292969,-650.790787734433,1453.46617435302,1386.28294996385,1382.37148074835,-67.1832243891761,-3.91146921549375,TRUE,TRUE,-0.59719063304571,3.8309263572426,0.356098595025512,0.643901404974488
500,23,26260633,-695.609430539159,-640.792174334764,-641.886959991357,1434.72111776727,1368.58886204744,1364.5638252622,-66.132255719835,-4.02503678523681,TRUE,TRUE,-0.529935942941782,3.85419317117899,0.38994478962191,0.610055210378089
500,24,26260634,-665.579321395878,-614.135462182488,-616.134600035958,1374.66089948071,1315.27543774289,1313.05910535141,-59.3854617378238,-2.21633239148127,TRUE,TRUE,-0.667125844544423,3.76933009018174,0.29799607143371,0.702003928566291
500,25,26260635,-730.774250703513,-668.263644314706,-669.200206779501,1505.05075809598,1423.53180200732,1419.19031883849,-81.5189560886588,-4.34148316883147,TRUE,TRUE,-0.544051448175022,3.76049805157846,0.416734722398766,0.583265277601233
500,26,26260636,-708.132484948073,-650.970600979524,-651.466141661208,1459.7672265851,1388.94571533696,1383.7221886019,-70.8215112481437,-5.22352673505361,TRUE,TRUE,-0.516198383918736,3.78421566255553,0.363496305842403,0.636503694157597
500,27,26260637,-697.020578174817,-657.667566628212,-655.957999417759,1437.54341303859,1402.33964663434,1392.70590411501,-35.2037664042548,-9.63374251932828,TRUE,TRUE,-0.524213150758509,3.7378332123537,0.349947734967743,0.650052265032257
500,28,26260638,-753.707256522458,-696.98389951795,-697.064346220701,1550.91676973387,1480.97231241381,1474.91859772089,-69.9444573200603,-6.05371469291981,TRUE,TRUE,-0.544906975631041,3.78821685559576,0.497730500895114,0.502269499104885
500,29,26260639,-697.585797603185,-636.799581399372,-637.221548443548,1438.67385189533,1360.60367617665,1355.23300216658,-78.0701757186703,-5.37067401007016,TRUE,TRUE,-0.504251123678087,3.79310941750501,0.498069038395935,0.501930961604065
