chromosome,tcnId,dhId,tcnStart,tcnEnd,tcnNbrOfLoci,tcnMean,tcnNbrOfSNPs,tcnNbrOfHets,dhStart,dhEnd,dhNbrOfLoci,dhMean,c1Mean,c2Mean,sequence
1,1,1,742429,6303661.5,614,2.1803,614,614,742429,6303661.5,614,0.0764,1.00686254,1.17343746,1
1,2,1,6303661.5,8628441,225,1.9251,225,225,6303661.5,8628441,225,0.2094,0.76099203,1.16410797,1
1,3,1,8628441,8925634,18,2.7957,18,18,8628441,8925634,18,0.4199,0.810892785,1.984807215,1
1,4,1,8925634,19970285.5,1092,1.8621,1092,1092,8925634,19970285.5,1092,0.2015,0.743443425,1.118656575,1
1,5,1,19970285.5,23099836.5,267,2.2373,267,267,19970285.5,23099836.5,267,0.074,1.0358699,1.2014301,1
1,6,1,23099836.5,48066694,1705,1.8821,1705,1705,23099836.5,48066694,1705,0.2012,0.75171074,1.13038926,1
1,7,1,48066694,51673809,124,2.237,124,124,48066694,51673809,124,0.0727,1.03718505,1.19981495,1
1,8,1,51673809,53106185.5,85,1.81234318382902,85,85,51673809,53106185.5,85,0.202,0.72312493034778,1.08921825348124,1
1,8,2,53106185.5,53183561,5,1.50501298939401,5,5,53106185.5,53183561,5,0.5472,0.340734940798805,1.16427804859521,1
1,8,3,53183561,84112174.5,3148,1.83360994337088,3148,3148,53183561,84112174.5,3148,0.2152,0.719508541778735,1.11410140159215,1
1,9,1,84112174.5,84985337.5,59,2.5467,59,59,84112174.5,84985337.5,59,0.4116,0.74923914,1.79746086,1
1,10,1,84985337.5,94361461,808,1.8239,808,808,84985337.5,94361461,808,0.2144,0.71642792,1.10747208,1
1,11,1,94361461,94722465,30,2.7693,30,30,94361461,94722465,30,0.4477,0.764742195,2.004557805,1
1,12,1,94722465,103429534,669,1.8785,669,669,94722465,103429534,669,0.2149,0.737405175,1.141094825,1
1,13,1,103429534,107512617.5,236,1.4365,236,236,103429534,107512617.5,236,0.1006,0.64599405,0.79050595,1
1,14,1,107512617.5,120879972.5,1229,1.8394,1229,1229,107512617.5,120879972.5,1229,0.1957,0.73971471,1.09968529,1
1,15,1,120879972.5,120992603,8,2.3662,8,8,120879972.5,120992603,8,0.078,1.0908182,1.2753818,1
1,1,1,142693888,145208103,37,1.81709122863193,37,37,142693888,145208103,37,0.3849,0.558846407365749,1.25824482126618,2
1,1,2,145208103,145609488.5,53,1.75279109756278,53,53,145208103,145609488.5,53,0.685,0.276064597866138,1.47672649969665,2
1,1,3,145609488.5,148475025,34,1.90918160951403,34,34,145609488.5,148475025,34,0.3816,0.590318953661738,1.31886265585229,2
1,2,1,148475025,148959907.5,14,2.6327,14,14,148475025,148959907.5,14,0.6041,0.521142965,2.111557035,2
1,3,1,148959907.5,150723020.5,86,1.8791259726683,86,86,148959907.5,150723020.5,86,0.5593,0.414065408077459,1.46506056459084,2
1,3,2,150723020.5,151419023,14,2.10768660239392,14,14,150723020.5,151419023,14,0.0392,1.01253264379004,1.09515395860388,2
1,3,3,151419023,152633056.5,93,1.89281821505091,93,93,151419023,152633056.5,93,0.6433,0.33758412865433,1.55523408639658,2
1,3,4,152633056.5,152927732.5,5,2.35714198023021,5,5,152633056.5,152927732.5,5,0.0756,1.0894710232624,1.26767095696781,2
1,3,5,152927732.5,154325359,97,1.80111636794228,97,97,152927732.5,154325359,97,0.6477,0.317266648213033,1.48384971972925,2
1,3,6,154325359,155737406,80,1.97658679871461,80,80,154325359,155737406,80,0.4467,0.546822737864398,1.42976406085022,2
1,3,7,155737406,184818935,3381,1.80027125399417,3381,3381,155737406,184818935,3381,0.6406,0.323508744342753,1.47676250965142,2
1,4,1,184818935,192694312,579,2.14438010685678,579,579,184818935,192694312,579,0.6663,0.357789820829055,1.78659028602773,2
1,4,2,192694312,194148890.5,18,2.23292289166559,18,18,192694312,194148890.5,18,0.1836,0.911479124377892,1.32144376728769,2
1,4,3,194148890.5,199303423,477,2.16505967500437,477,477,194148890.5,199303423,477,0.6965,0.328547805681913,1.83651186932246,2
1,4,4,199303423,201598866,242,2.13002107118912,242,242,199303423,201598866,242,0.5763,0.451244963931416,1.67877610725771,2
1,5,1,201598866,203336586,284,2.8133,284,284,201598866,203336586,284,0.1982,1.12785197,1.68544803,2
1,6,1,203336586,203563201.5,20,2.29775562908449,20,20,203336586,203563201.5,20,0.3962,0.693692424420608,1.60406320466388,2
1,6,2,203563201.5,204732940.5,46,2.47255336158773,46,46,203563201.5,204732940.5,46,0.2479,0.929803691625066,1.54274966996266,2
1,6,3,204732940.5,207410337.5,325,2.43142078441813,325,325,204732940.5,207410337.5,325,0.3779,0.756293434993259,1.67512734942487,2
1,6,4,207410337.5,209526811.5,279,2.40155464993633,279,279,207410337.5,209526811.5,279,0.6822,0.381607033874882,2.01994761606144,2
1,6,5,209526811.5,210388956.5,41,2.35297783654837,41,41,209526811.5,210388956.5,41,0.4781,0.614009566447297,1.73896827010107,2
1,7,1,210388956.5,210558269.5,16,2.75416542759442,16,16,210388956.5,210558269.5,16,0.6663,0.459532501594129,2.29463292600029,2
1,7,2,210558269.5,210912874.5,44,3.38115300010083,44,44,210558269.5,210912874.5,44,0.1641,1.41315289639214,1.96800010370869,2
1,7,3,210912874.5,215352750,500,2.97101415691975,500,500,210912874.5,215352750,500,0.0797,1.36711216430662,1.60390199261313,2
1,7,4,215352750,216001500,66,2.62800668247864,66,66,215352750,216001500,66,0.1431,1.12596946310797,1.50203721937066,2
1,8,1,216001500,219514480,281,3.301,281,281,216001500,219514480,281,0.1088,1.4709256,1.8300744,2
1,9,1,219514480,221214486,208,3.7483,208,208,219514480,221214486,208,0.0994,1.68785949,2.06044051,2
1,10,1,221214486,221594638.5,52,3.2658,52,52,221214486,221594638.5,52,0.0787,1.50439077,1.76140923,2
1,11,1,221594638.5,221711542.5,4,2.23301327030233,4,4,221594638.5,221711542.5,4,0.0663,1.04248224524064,1.19053102506169,2
1,11,2,221711542.5,232977663.5,1423,2.07921279633175,1423,1423,221711542.5,232977663.5,1423,0.6514,0.362406790400625,1.71680600593113,2
1,11,3,232977663.5,233338599.5,19,2.15972078990731,19,19,232977663.5,233338599.5,19,0.4049,0.64262492103692,1.51709586887039,2
1,12,1,233338599.5,240168978.5,885,2.4591,885,885,233338599.5,240168978.5,885,0.3973,0.741049785,1.718050215,2
1,13,1,240168978.5,240996505.5,148,3.02006147627293,148,148,240168978.5,240996505.5,148,0.2938,1.06638370727197,1.95367776900096,2
1,13,2,240996505.5,247135233,524,2.85361221100241,524,524,240996505.5,247135233,524,0.2298,1.09892606245703,1.75468614854538,2
