cell_line,chromosome,start,end,copy_ratio,p_value,normal_count,tumor_count
HCC1954,1,1,4235675,0.723,1.0,25212,23557
HCC1954,1,4235799,42076566,0.815,0.0,252929,266313
HCC1954,1,42076686,51649045,0.853,2.54e-12,55154,60797
HCC1954,1,51649542,52768386,0.937,1.79e-06,5444,6589
HCC1954,1,52768409,55311810,0.809,9.67e-12,18120,18953
HCC1954,1,55311934,81011518,0.898,0.0,124603,144583
HCC1954,1,81012101,108174764,0.926,2.47e-08,117902,141087
HCC1954,1,108175741,117447468,0.881,5.64e-12,49401,56222
HCC1954,1,117447640,118386917,1.109,0.0,5250,7522
HCC1954,1,118386948,144099850,0.888,2.41e-22,10159,11659
HCC1954,1,144100024,146182173,1.914,0.0,6619,16370
HCC1954,1,146182195,146295195,1.389,1.07e-07,410,736
HCC1954,1,146295684,148716371,1.858,3.7e-06,2998,7197
HCC1954,1,148716400,151421625,1.504,8.92e-18,13901,27015
HCC1954,1,151425633,154448669,1.374,7.72e-11,18739,33269
HCC1954,1,154448690,154453195,0.58,1.32e-41,392,294
HCC1954,1,154453232,154777517,1.34,0.0,2602,4506
HCC1954,1,154777780,155837111,1.599,2.42e-10,7551,15601
HCC1954,1,155837536,165643013,1.213,6.25e-70,53988,84651
HCC1954,1,165643177,165680639,0.9,1.07e-05,356,414
HCC1954,1,165681499,171420963,1.274,2.61e-07,28650,47156
HCC1954,1,171421011,175144308,1.158,1.67e-15,19097,28584
HCC1954,1,175144720,179147475,1.254,6.25e-10,20783,33678
HCC1954,1,179147523,179190861,0.929,6.01e-07,455,546
HCC1954,1,179190884,191567999,1.238,1.59e-06,55363,88559
HCC1954,1,191568157,191739441,2.19,0.0,400,1132
HCC1954,1,191740203,199910218,1.257,2.78e-18,34838,56600
HCC1954,1,199910952,205245298,1.178,1.21e-11,36025,54837
HCC1954,1,205245568,206119265,1.33,1.03e-08,4102,7048
HCC1954,1,206119345,206314346,1.12,4e-06,1630,2360
HCC1954,1,206314482,208482628,1.297,1.01e-05,13653,22887
HCC1954,1,208482738,211663982,1.2,5.95e-08,18348,28448
HCC1954,1,211664099,223946702,1.287,5.74e-11,61103,101606
HCC1954,1,223946756,225267525,1.134,7.54e-19,9124,13372
HCC1954,1,225267872,225954492,1.297,7.98e-07,2978,4991
HCC1954,1,225955585,226535187,1.119,1.34e-06,4342,6278
HCC1954,1,226535295,226569287,0.789,2.65e-07,404,412
HCC1954,1,226569454,229448748,1.186,2.88e-10,19091,29248
HCC1954,1,229448887,232963093,1.274,2.34e-08,20645,33975
HCC1954,1,232963367,242967423,1.207,4.19e-07,48151,75094
HCC1954,1,242967941,244081963,1.056,1.35e-15,6734,9189
HCC1954,1,244082129,244812184,1.191,8.96e-06,3574,5498
HCC1954,1,244812237,244900406,0.66,5.42e-20,456,389
HCC1954,1,244901206,247249718,1.135,0.0,7456,10934
HCC1954,2,1,3788425,0.775,1.0,25590,25641
HCC1954,2,3788625,7312573,0.835,3.47e-08,19098,20605
HCC1954,2,7312812,7352480,0.585,8.02e-06,308,233
HCC1954,2,7352656,10590299,0.832,9.44e-06,22335,24025
HCC1954,2,10590362,30197517,0.884,2.63e-09,115432,131809
HCC1954,2,30197584,42570641,0.919,1.13e-08,60419,71745
HCC1954,2,42571057,79378884,0.884,1.03e-09,188729,215538
HCC1954,2,79378985,80859074,0.814,1.59e-07,7816,8216
HCC1954,2,80859199,85111314,0.92,3.76e-11,17119,20361
HCC1954,2,85113638,94946926,0.852,2.84e-07,16076,17701
HCC1954,2,94947398,98921040,1.025,0.0,19420,25712
HCC1954,2,98921196,105174160,1.13,0.0,34169,49900
HCC1954,2,105175069,119400990,1.086,7.43e-06,58360,81901
HCC1954,2,119401063,136006549,1.036,5.32e-11,80936,108380
HCC1954,2,136006801,136361442,0.789,1.01e-18,1874,1910
HCC1954,2,136361634,140449937,1.096,0.0,19710,27905
HCC1954,2,140450687,148404299,0.885,2.89e-71,35539,40662
HCC1954,2,148404536,151725896,1.348,0.0,15837,27594
HCC1954,2,151726140,171147237,1.104,9.56e-72,88096,125639
HCC1954,2,171147339,180429012,1.016,7.5e-29,48323,63441
HCC1954,2,180429072,184047880,0.956,4.29e-07,16157,19953
HCC1954,2,184048030,197470393,1.018,1.11e-07,52845,69539
HCC1954,2,197470443,198794667,0.632,5.98e-163,6543,5342
HCC1954,2,198795118,198856668,1.006,1.92e-08,334,434
HCC1954,2,198856911,201959364,0.687,1.95e-06,15480,13737
HCC1954,2,201959392,202780362,0.464,1.72e-56,4687,2807
HCC1954,2,202781757,205204732,0.705,0.0,10916,9940
HCC1954,2,205204985,205615572,0.508,2.39e-17,1647,1081
HCC1954,2,205615725,206246834,0.912,0.0,3355,3955
HCC1954,2,206247556,207076301,0.602,1.12e-39,5516,4291
HCC1954,2,207077400,217211943,0.703,5.86e-14,46751,42490
HCC1954,2,217212451,220421672,0.649,3.94e-12,23779,19937
HCC1954,2,220422008,230440080,0.686,1.11e-06,52428,46480
HCC1954,2,230440474,233926772,0.63,5.54e-13,21300,17327
HCC1954,2,233926887,238694770,0.668,3.9e-06,33060,28555
HCC1954,2,238695064,242951148,0.601,6e-19,28442,22073
HCC1954,3,1,7833806,0.856,1.0,36993,40933
HCC1954,3,7834045,8317261,0.992,6.56e-07,2304,2953
HCC1954,3,8317514,20146966,0.836,5.46e-09,74868,80885
HCC1954,3,20147930,36536911,0.902,0.0,76205,88786
HCC1954,3,36536991,39113615,0.856,9.77e-06,16636,18406
HCC1954,3,39113715,39198870,0.64,6.74e-09,789,652
HCC1954,3,39198984,48199600,0.864,1.17e-09,53126,59277
HCC1954,3,48199723,51949005,0.808,4.04e-10,24784,25873
HCC1954,3,51949473,52547091,0.73,5.35e-07,6094,5752
HCC1954,3,52547221,64851512,0.867,0.0,71399,80013
HCC1954,3,64851687,71544017,0.909,2.7e-07,32812,38541
HCC1954,3,71544162,87838356,0.855,5.55e-11,65840,72771
HCC1954,3,87839080,101697589,0.895,7.11e-07,35266,40772
HCC1954,3,101697607,104607168,0.962,5.91e-07,11671,14508
HCC1954,3,104608206,125960469,0.869,4.35e-14,101025,113494
HCC1954,3,125960581,129555974,0.804,1.07e-15,25009,25984
HCC1954,3,129556201,148625236,0.861,2.58e-12,98962,110107
HCC1954,3,148625320,151514322,0.922,5.25e-08,13391,15962
HCC1954,3,151514649,151654198,1.231,4.75e-08,686,1091
HCC1954,3,151654384,178468577,0.89,5.26e-10,115677,132989
HCC1954,3,178468724,178574403,0.7,1.13e-05,627,567
HCC1954,3,178575014,180212048,0.911,3.1e-06,8068,9496
HCC1954,3,180212272,189538030,1.262,0.0,50611,82510
HCC1954,3,189538278,191684326,1.482,0.0,10832,20740
HCC1954,3,191684524,194871398,1.317,7.51e-14,14791,25167
HCC1954,3,194871765,199501826,1.219,9.22e-09,23063,36337
HCC1954,4,1,3200045,0.761,1.0,21623,21257
HCC1954,4,3200060,3241129,0.363,7.06e-28,450,211
HCC1954,4,3241475,5202081,0.731,0.0,12764,12053
HCC1954,4,5202261,8575229,0.805,1.87e-10,27225,28311
HCC1954,4,8575251,19683363,0.864,5.85e-12,53913,60180
HCC1954,4,19683880,38149908,0.659,5.15e-253,79953,68084
HCC1954,4,38150237,40676105,0.894,0.0,11931,13776
HCC1954,4,40676268,42409111,1.01,4.04e-11,9409,12283
HCC1954,4,42409656,44327150,1.19,2.44e-15,6952,10692
HCC1954,4,44327717,47131642,1.396,2.22e-16,10531,19001
HCC1954,4,47131749,75470878,1.063,5.89e-92,93305,128125
HCC1954,4,75470948,75597944,1.527,3.2e-08,402,793
HCC1954,4,75598041,87256287,1.103,6.06e-07,55266,78794
HCC1954,4,87256550,88372112,1.3,0.0,4914,8253
HCC1954,4,88372530,89030081,1.126,2.16e-06,2777,4041
HCC1954,4,89031685,97304669,0.942,1.81e-11,33312,40551
HCC1954,4,97304903,108824583,0.9,2.46e-06,45213,52554
HCC1954,4,108824658,114917046,0.855,9.51e-07,28591,31589
HCC1954,4,114918021,115289498,1.15,6.66e-16,1480,2199
HCC1954,4,115292302,117281327,0.954,9.72e-07,7302,9005
HCC1954,4,117282595,118147575,0.664,6.42e-34,2987,2564
HCC1954,4,118148275,121666719,0.913,0.0,12764,15061
HCC1954,4,121667083,122924120,0.687,1.97e-38,5737,5089
HCC1954,4,122924389,123971057,0.492,4.69e-29,4664,2963
HCC1954,4,123971592,124175425,0.703,5.47e-10,879,799
HCC1954,4,124175606,125456904,0.925,4.27e-08,4841,5789
HCC1954,4,125457012,126159727,0.778,9.82e-08,2799,2813
HCC1954,4,126160047,137170096,0.665,5.21e-08,37383,32132
HCC1954,4,137172111,146899369,0.71,3.24e-10,40617,37281
HCC1954,4,146900025,148373195,0.639,3.75e-09,7871,6502
HCC1954,4,148374593,148463502,1.021,9.14e-10,389,513
HCC1954,4,148463569,148753355,0.631,4.3e-09,1508,1229
HCC1954,4,148754235,149543678,1.084,0.0,4253,5959
HCC1954,4,149543878,150474734,0.694,8.54e-51,4149,3718
HCC1954,4,150474970,150870359,1.215,0.0,1455,2285
HCC1954,4,150870638,150968205,0.807,1.24e-08,419,437
HCC1954,4,150968330,151097496,1.364,6.73e-10,526,927
HCC1954,4,151097667,152749220,0.672,1.07e-27,7213,6261
HCC1954,4,152749326,155181324,0.87,0.0,14843,16686
HCC1954,4,155181393,155300346,1.682,0.0,610,1326
HCC1954,4,155300400,158036902,0.982,1.24e-22,11946,15156
HCC1954,4,158036981,158458846,1.817,0.0,1802,4232
HCC1954,4,158459222,162059054,0.958,2.07e-84,14345,17757
HCC1954,4,162059711,166666147,0.655,1.69e-126,17274,14624
HCC1954,4,166666976,166955990,1.504,0.0,1503,2920
HCC1954,4,166956093,170464714,0.716,2.78e-84,13847,12809
HCC1954,4,170465062,170971516,1.386,0.0,1964,3518
HCC1954,4,170971676,171113182,0.784,2.22e-24,706,715
HCC1954,4,171113223,171209335,1.458,0.0,606,1142
HCC1954,4,171209374,171417954,0.709,9.88e-25,862,790
HCC1954,4,171418071,173522452,0.914,2.31e-07,7840,9256
HCC1954,4,173522694,173978082,1.177,1.34e-13,1912,2908
HCC1954,4,173978142,174184553,0.712,6.22e-23,1049,965
HCC1954,4,174185319,174445422,1.383,0.0,1223,2186
HCC1954,4,174445445,174646129,0.982,2.95e-10,1013,1285
HCC1954,4,174646278,174745175,0.588,9.65e-14,682,518
HCC1954,4,174745558,176284792,0.926,2.22e-16,6544,7829
HCC1954,4,176285246,177904660,1.649,0.0,6910,14726
HCC1954,4,177904885,179306773,0.966,4.33e-121,5319,6638
HCC1954,4,179307245,191273062,0.651,9.24e-79,55827,46964
HCC1954,5,1,529016,3.638,1.0,1713,8053
HCC1954,5,529025,573622,6.68,0.0,438,3781
HCC1954,5,573664,1695092,8.705,3.28e-07,5112,57504
HCC1954,5,1695242,2028632,4.868,7.81e-122,2781,17494
HCC1954,5,2028693,2182432,1.721,8.21e-148,1004,2233
HCC1954,5,2182509,2235145,3.555,0.0,443,2035
HCC1954,5,2235184,3263992,5.565,0.0,7503,53956
HCC1954,5,3264016,6670603,1.347,0.0,21797,37951
HCC1954,5,6670905,6843418,1.14,1.13e-06,1418,2088
HCC1954,5,6843567,11217939,1.421,7.85e-11,24686,45339
HCC1954,5,11218054,28564633,1.53,1.55e-15,65117,128697
HCC1954,5,28564743,35527818,1.456,9.31e-09,30547,57486
HCC1954,5,35527968,49511507,1.634,0.0,47657,100653
HCC1954,5,49512156,51873837,1.226,1.03e-85,8133,12886
HCC1954,5,51874102,63086808,0.71,1.65e-232,54321,49814
HCC1954,5,63087330,63289147,1.461,0.0,940,1775
HCC1954,5,63289431,64689445,0.65,9.66e-60,6376,5358
HCC1954,5,64689777,71925013,0.71,1.34e-05,27944,25635
HCC1954,5,71925091,102150945,0.893,0.0,130423,150506
HCC1954,5,102150989,102502097,1.129,2.57e-11,1523,2222
HCC1954,5,102502557,102922728,0.806,1.3e-13,2081,2168
HCC1954,5,102923096,103448667,1.06,4.09e-11,2184,2990
HCC1954,5,103448764,103650608,2.128,0.0,722,1985
HCC1954,5,103650933,104287517,1.312,7.99e-20,2044,3464
HCC1954,5,104288133,106528528,0.913,1e-27,7697,9085
HCC1954,5,106529313,106856727,1.576,0.0,1838,3744
HCC1954,5,106857018,108619587,0.878,2.95e-65,8295,9415
HCC1954,5,108619981,109169182,1.75,0.0,2039,4612
HCC1954,5,109169244,109255943,2.309,4.63e-06,477,1423
HCC1954,5,109255977,109717693,1.38,1.67e-16,1926,3435
HCC1954,5,109717833,110551197,1.165,3.59e-06,3277,4934
HCC1954,5,110551328,110795517,2.131,0.0,1155,3181
HCC1954,5,110795946,111332508,1.696,4.85e-08,2743,6013
HCC1954,5,111332518,111647687,1.347,3.23e-09,1524,2652
HCC1954,5,111647756,111875896,1.021,3.12e-08,1149,1516
HCC1954,5,111876178,113978999,1.928,0.0,10462,26066
HCC1954,5,113979803,114857404,2.353,0.0,3710,11281
HCC1954,5,114857626,115198895,3.99,0.0,1717,8852
HCC1954,5,115198993,116499398,2.251,1.02e-76,6510,18938
HCC1954,5,116499495,116860501,1.037,3e-122,1583,2122
HCC1954,5,116861007,116932576,2.37,0.0,241,738
HCC1954,5,116932610,131559169,0.891,6.15e-29,63890,73516
HCC1954,5,131559210,134394979,0.814,1.84e-15,19204,20198
HCC1954,5,134395482,138433112,0.867,2.12e-06,25539,28599
HCC1954,5,138433276,141457992,0.804,1.91e-08,18797,19531
HCC1954,5,141458757,149407584,0.886,8.88e-16,43960,50305
HCC1954,5,149407697,151258645,0.799,1.11e-14,14060,14514
HCC1954,5,151258906,175111696,0.845,4.75e-06,133754,146057
HCC1954,5,175111785,175261378,1.514,0.0,1272,2488
HCC1954,5,175261477,176130247,0.804,7.02e-48,3585,3724
HCC1954,5,176131056,176179100,1.977,0.0,471,1203
HCC1954,5,176179113,176256705,3.372,2.22e-16,848,3695
HCC1954,5,176256752,176461383,5.606,0.0,1111,8048
