chromosome,position,marker_index,beta_tumor,beta_normal,sequence,within_sequence,beta_corrected,state
1,742429,448316,0.496168196201325,0.448667943477631,1,1,0.543077717105106,3
1,766985,788774,0.473948180675507,0.452291548252106,1,3,0.519770219314937,3
1,775852,428634,0.409685671329498,0.368882417678833,1,5,0.532326189915829,3
1,939471,932073,0.266277223825455,0.353570818901062,1,7,0.376554299154374,3
1,1087198,231218,0.340820372104645,0.326380372047424,1,9,0.510718215041558,3
1,1145994,622,0.506039798259735,0.511430263519287,1,11,0.494730009500749,3
1,1301579,704419,0.71118974685669,0.674576461315155,1,13,0.556254820547865,3
1,1488015,892956,0.72014981508255,0.691978991031647,1,15,0.54572873802546,3
1,1653691,207002,0.639777779579163,0.652388393878937,1,17,0.490335040891213,3
1,1748914,366374,0.457079827785492,0.460613995790482,1,19,0.496163633717942,3
1,1773061,617162,0.489682793617249,0.507160544395447,1,21,0.482769015678228,3
1,1878053,703820,0.286851614713669,0.307992219924927,1,23,0.46567996877257,3
1,1938260,857724,0.496755033731461,0.446526795625687,1,25,0.545375492172702,3
1,2157009,429715,0.429283082485199,0.434459567070007,1,27,0.494042616416853,3
1,2217282,629119,0.516039073467255,0.514800250530243,1,29,0.501276611270271,3
1,2261924,814126,0.487288296222687,0.48107635974884,1,31,0.505985405165623,3
1,2273756,388839,0.601983845233917,0.639396488666534,1,33,0.470743784102849,3
1,2319521,893337,0.274282574653626,0.322537839412689,1,35,0.425194413085094,3
1,2382508,764960,0.198868095874786,0.330065548419952,1,37,0.301255457933708,3
1,2691676,790967,0.367122381925583,0.366959542036057,1,39,0.500128617284628,3
1,2739781,756516,0.549806535243988,0.572177886962891,1,41,0.480450702282773,3
1,2782661,471064,0.851953387260437,0.688402354717255,1,43,0.762439455206369,3
1,2823020,833060,0.405773967504501,0.39517879486084,1,45,0.508758929542842,3
1,2823603,626688,0.318239957094193,0.459312587976456,1,47,0.346430693850813,3
1,2893916,776315,0.516120970249176,0.516929447650909,1,49,0.499218000246061,3
1,2899231,153303,0.347610175609589,0.342884212732315,1,51,0.503595989450295,3
1,2911720,324934,0.549014747142792,0.525021612644196,1,53,0.525257080255973,3
1,2916415,146876,0.474780917167664,0.438902795314789,1,55,0.531971396001699,3
1,2928557,789564,0.480644524097443,0.531791627407074,1,57,0.451910578623609,3
